On the Underworld and the Soul
Ἀποσπάσματα
by Democritus of Abdera
eul_wid: byu-ab    eul_aid: byu

Period   Classical
Dialect  Ionic
Domain   Philosophy
Format   Collection

The work conventionally titled On the Underworld and the Soul is not a discrete, surviving text by the pre-Socratic philosopher Democritus of Abdera. It is a modern scholarly construct, a thematic compilation of his doctrines pieced together from fragmentary quotations and testimonia preserved by later ancient authors. Democritus, a prolific writer of the 5th and 4th centuries BCE and a principal architect of atomist philosophy, posited that all reality consists of indivisible particles, or atoms, moving in void space. Within this rigorously materialist system, he defined the soul as a composite of particularly fine, spherical, and mobile atoms. Consequently, his view of death entailed the dissolution of this atomic compound, precluding any form of personal immortality or a literal afterlife. References to Hades in the surviving fragments are thus generally interpreted by modern scholarship not as descriptions of a subterranean realm of the dead, but as ethical allegories for a life of moral and psychological wretchedness.

No complete work by Democritus survives. Our knowledge derives entirely from secondary sources, including over four hundred fragments and reports collected from authors such as Aristotle, Sextus Empiricus, Plutarch, and the anthologist Stobaeus. These fragments reveal a wide-ranging intellect who applied his atomic theory to ethics, advocating for a state of tranquility, or euthymia, achieved through moderation, intellectual cultivation, and freedom from irrational fears, including the terror of divine retribution after death. His physical and ethical theories were critically adopted and developed by Epicurus in the following century and were later given powerful poetic expression by Lucretius, securing Democritus's enduring influence on the history of materialist and scientific thought.

Text
----

tit,0a-4a	ΔΗΜΟΚΡΙΤΟΥ ΗΘΙΚΑ
239	—28, 13 Δ—ου. ὅρκους οὓς ποιέονται ἐν ἀνάγκηισιν ἐόντες οὐ τηρέουσιν οἱ φλαῦρο ι , ἐπὴν διαφύγωσι ν.
240	—29, 63. 83a (III p. LXXIX H.) Δ—ου. οἱ ἑκούσιοι πόνοι τὴν τῶν ἀκουσίων ὑπομονὴν ἐλαφροτέρην παρασκευάζουσ ι.
241	— —64 τοῦ αὐτοῦ. πόνος συνεχὴς ἐλαφρότερος ἑαυτοῦ συνηθείηι γίνετα ι.
242	— —66 Δ—ου. πλέονες ἐξ ἀσκήσιος ἀγαθοὶ γίνονται ἢ ἀπὸ φύσιο ς.
243	— —88 Δ—ου. τῆς ἡσυχίης πάντες οἱ πόνοι ἡδίονε ς , ὅταν ὧν εἵνεκεν πονέουσι τυγχάνωσιν ἢ εἰδέωσι κύρσοντε ς . ἐν δὲ ἑκάστηι ἀποτυχίηι τὸ πονεῖν (? ) ὁμοίως ἀνιηρὸν καὶ ταλαίπωρο ν.
244	STOB. III 31, 7 Δ—ου. φαῦλο ν , κἂν μόνος ἦι ς , μήτε λέξηις μή τ ’ ἐργάση ι · μάθε δὲ πολὺ μᾶλλον τῶν ἄλλων σεαυτὸν αἰσχύνεσθα ι.
245	— —53 Δ—ου. οὐκ ἂν ἐκώλυον οἱ νόμοι ζῆν ἕκαστον κα τ ’ ἰδίην ἐξουσίη ν , εἰ μὴ ἕτερος ἕτερον ἐλυμαίνετ ο · φθόνος γὰρ στάσιος ἀρχὴν ἀπεργάζετα ι.
246	—40, 6 Δ—ου. ξενιτείη βίου αὐτάρκειαν διδάσκε ι · μᾶζα γὰρ καὶ στιβὰς λιμοῦ καὶ κόπου γλυκύτατα ἰάματ α.
247	— —7 τοῦ αὐτοῦ. ἀνδρὶ σοφῶι πᾶσα γῆ βατ ή · ψυχῆς γὰρ ἀγαθῆς πατρὶς ὁ ξύμπας κόσμο ς.
248	—(Flor.) IV 1, 33 Hense Δ—ου. ὁ νόμος βούλεται μὲν εὐεργετεῖν βίον ἀνθρώπω ν · δύναται δ έ , ὅταν αὐτοὶ βούλωνται πάσχειν ε ὖ · τοῖσι γὰρ πειθομένοισι τὴν ἰδίην ἀρετὴν ἐνδείκνυτα ι.
249	— —34 τοῦ αὐτοῦ. στάσις ἐμφύλιος ἐς ἑκάτερα κακό ν · καὶ γὰρ νικέουσι καὶ ἡσσωμένοι ς . ὁμοίη φθορ ή.
250	— —40 Δ—ου. ἀπὸ ὁμονοίης τὰ μεγάλα ἔργα καὶ ταῖς πόλεσι τοὺς πολέμους δυνατὸν κατεργάζεσθα ι , ἄλλως δ ’ ο ὔ.
251	— —42 Δ—ου. ἡ ἐν δημοκρατίηι πενίη τῆς παρὰ τοῖς δυνάστηισι καλεομένης εὐδαιμονίης τοσοῦτόν ἐστι αἱρετωτέρ η , ὁκόσον ἐλευθερίη δουλείη ς.
252	— —43 τὰ κατὰ τὴν πόλιν χρεὼν τῶν λοιπῶν μέγιστα ἡγεῖσθα ι , ὅκως ἄξεται ε ὖ , μήτε φιλονικέοντα παρὰ τὸ ἐπιεικὲς μήτε ἰσχὺν ἑαυτῶι περιτιθέμενον παρὰ τὸ χρηστὸν τὸ τοῦ ξυνο ῦ . πόλις γὰρ εὖ ἀγομένη μεγίστη ὄρθωσίς ἐστ ι , καὶ ἐν τούτωι πάντα ἔν ι , καὶ τούτου σωιζομένου πάντα σώιζεται καὶ τούτου διαφθειρομένου τὰ πάντα διαφθείρετα ι.
253	STOB. IV 1, 44 τοῖς χρηστοῖσιν οὐ συμφέρον ἀμελέοντας τῶν ἑωυτῶν ἄλλα πρήσσει ν · τὰ γὰρ ἴδια κακῶς ἔσχε ν . εἰ δὲ ἀμελέοι τις τῶν δημοσίω ν , κακῶς ἀκούειν γίγνετα ι , καὶ ἢν μηδὲν μήτε κλέπτηι μήτε ἀδικῆ ι . ἐπεὶ καὶ 〈μὴ〉 ἀμελέοντι ἢ ἀδικέοντι κίνδυνος κακῶς ἀκούειν καὶ δὴ καὶ παθεῖν τ ι · ἀνάγκη δὲ ἁμαρτάνει ν , συγγινώσκεσθαι δὲ τοὺς ἀνθρώπους οὐκ εὐπετέ ς.
254	— —45 οἱ κακοὶ ἰόντες ἐς τὰς τιμὰς ὁκόσωι ἂν μᾶλλον ἀνάξιοι ἐόντες ἴωσ ι , τοσούτωι μᾶλλον ἀνακηδέες γίγνονται καὶ ἀφροσύνης καὶ θράσεος πίμπλαντα ι.
255	— —46 ὅταν οἱ δυνάμενοι τοῖς μὴ ἔχουσι καὶ προτελεῖν τολμέωσι καὶ ὑπουργεῖν καὶ χαρίζεσθα ι , ἐν τούτωι ἤδη καὶ τὸ οἰκτίρειν ἔνεστι καὶ μὴ ἐρήμους εἶναι καὶ τὸ ἑταίρους γίγνεσθα ι , καὶ τὸ ἀμύνειν ἀλλήλοισι καὶ τοὺς πολιήτας ὁμονόους εἶναι καὶ ἄλλα ἀγαθ ά , ἅσσα οὐδεὶς ἂν δύναιτο καταλέξα ι.
256	— —14 δίκη μέν ἐστιν ἔρδειν τὰ χρὴ ἐόντ α , ἀδικίη δὲ μὴ ἔρδειν τὰ χρὴ ἐόντ α , ἀλλὰ παρατρέπεσθα ι.
257	— —15 τοῦ αὐτο ῦ . κατὰ δὲ ζώιων ἔστιν ὧν φόνου καὶ μὴ φόνου ὧδε ἔχε ι · τὰ ἀδικέοντα καὶ θέλοντα ἀδικεῖν ἀθῶιος ὁ κτείνω ν , καὶ πρὸς εὐεστοῦν τοῦτο ἔρδειν μᾶλλον ἢ μ ή.
258	— —16 κτείνειν χρὴ τὰ πημαίνοντα παρὰ δίκην πάντα περὶ παντὸ ς · καὶ ταῦτα ὁ ποιῶν εὐθυμίης (? ) καὶ δίκης καὶ θάρσεος καὶ κτήσεως (? ) ἐν παντὶ κόσμωι μέζω μοῖραν μεθέξε ι.
259	— —17 ὅκωσπερ περὶ κιναδέων τε καὶ ἑρπετέων γεγράφαται τῶν πολεμίω ν , οὕτω καὶ κατὰ ἀνθρώπων δοκεῖ μοι χρεὼν εἶναι ποιεῖ ν · κατὰ νόμους τοὺς πατρίους κτείνειν πολέμιον ἐν παντὶ κόσμω ι , ἐν ὧι μὴ νόμος ἀπείργε ι · ἀπείργει δὲ ἱερὰ ἑκάστοισι ἐπιχώρια καὶ σπονδαὶ καὶ ὅρκο ι.
260	STOB. IV 4, 18 κιξάλλην καὶ ληιστὴν πάντα κτείνων τις ἀθῶιος ἂν εἴη καὶ αὐτοχειρίηι καὶ κελεύων καὶ ψήφω ι.
261	—5, 43 Δ—ου. ἀδικουμένοισι τιμωρεῖν κατὰ δύναμιν χρὴ καὶ μὴ παρἱένα ι · τὸ μὲν γὰρ τοιοῦτον δίκαιον καὶ ἀγαθό ν , τὸ δὲ μὴ τοιοῦτον ἄδικον καὶ κακό ν.
262	— —44 Δ—ου. καὶ οἳ φυγῆς ἄξια ἔρδουσιν ἢ δεσμῶ ν , ἢ θωιῆς ἄξιο ι , καταψηφιστέον καὶ μὴ ἀπολύει ν · ὃς δ ’ ἂν παρὰ νόμον ἀπολύηι κέρδει ὁρίζων ἢ ἡδονῆ ι , ἀδικε ῖ , καί οἱ τοῦτο ἐγκάρδιον ἀνάγκη εἶνα ι.
263	— —45 τοῦ αὐτοῦ. δίκης καὶ ἀρετῆς μεγίστην μετέχει μοῖραν ὁ [τιμὰς] ἀξίας τὰς μεγίστας τάμνων 〈τοῖς ἀξιωτάτοισ〉 (?).
264	— —46 τοῦ αὐτοῦ. μηδέν τι μᾶλλον τοὺς ἀνθρώπους αἰδεῖσθαι ἑωυτοῦ μηδέ τι μᾶλλον ἐξεργάζεσθαι κακό ν , εἰ μέλλει μηδεὶς εἰδήσειν ἢ οἱ πάντες ἄνθρωπο ι · ἀλ λ ’ ἑωυτὸν μάλιστα αἰδεῖσθα ι , καὶ τοῦτον νόμον τῆι ψυχῆι καθεστάνα ι , ὥστε μηδὲν ποιεῖν ἀνεπιτήδειο ν.
265	— —47 τοῦ αὐτοῦ. τῶν ἡμαρτημένων ἄνθρωποι μεμνέαται μᾶλλον ἢ τῶν εὖ πεποιημένω ν . καὶ γὰρ δίκαιον οὕτω ς · ὥσπερ 〈γὰρ τὸν〉 τὰς παρακαταθήκας ἀποδιδόντα οὐ χρὴ ἐπαινεῖσθα ι , τὸν δὲ μὴ ἀποδιδόντα κακῶς ἀκούειν καὶ πάσχει ν , οὕτω καὶ τὸν ἄρχοντ α . οὐ γὰρ ἐπὶ τούτωι ἡιρέθη ὡς κακῶς ποιήσω ν , ἀλ λ ’ ὡς εὖ
266	STOB. IV 5, 48 τοῦ αὐτοῦ. οὐδεμία μηχανὴ τῶι νῦν καθεστῶτι ῥυθμῶι μὴ οὐκ ἀδικεῖν τοὺς ἄρχοντα ς , ἢν καὶ πάνυ ἀγαθοὶ ἔωσι ν . οὐδενὶ γὰρ ἄλλωι ἔοικεν ἢ ἑωυτῶι τὸν 〈 *** 〉 αὐτὸν ἐ φ ’ ἑτέροισι γίγνεσθα ι · δεῖ δέ κως οὕτω καὶ ταῦτα κοσμηθῆνα ι , ὅκως ὁ μηδὲν ἀδικέω ν , ἢν καὶ πάνυ ἐτάζηι τοὺς ἀδικέοντα ς , μὴ ὑ π ’ ἐκείνους γενήσετα ι , ἀλλά τις ἢ θεσμὸς ἤ τι ἄλλο ἀμυνεῖ τῶι τὰ δίκαια ποιεῦντ ι.
267	—6, 19 Δ—ου. φύσει τὸ ἄρχειν οἰκήιον τῶι κρέσσον ι.
268	—7, 13 Δ—ου. φόβος κολακείην μὲν ἐργάζετα ι , εὔνοιαν δὲ οὐκ ἔχε ι.
269	—10, 28 Δ—ου. τόλμα πρήξιος ἀρχ ή , τύχη δὲ τέλεος κυρί η.
270	—19, 45 Δ—ου. οἰκέταισιν ὡς μέρεσι τοῦ σκήνεος χρῶ ἄλλωι πρὸς ἄλλ ο.
271	—20, 33 Δ—ου. ἐρωτικὴν μέμψιν ἡ ἀγαπωμένη [? ] λύε ι.
272	—22, 108 Δ—ου. Δ. ἔφη, ὡς γαμβροῦ ὁ μὲν ἐπιτυχὼν εὗρεν υἱό ν , ὁ δὲ ἀποτυχὼν ἀπώλεσε καὶ θυγατέρ α.
273	— —199 Δ—ου. γυνὴ πολλὰ ἀνδρὸς ὀξυτέρη πρὸς κακοφραδμοσύνη ν.
274	— —23, 38 Δ—ου. κόσμος ὀλιγομυθίη γυναικ ί · καλὸν δὲ καὶ κόσμου λιτότη ς.
275	—24, 29 Δ—ου. τεκνοτροφίη σφαλερό ν · τὴν μὲν γὰρ ἐπιτυχίην ἀγῶνος μεστὴν καὶ φροντίδος κέκτητα ι , τὴν δὲ ἀποτυχίην ἀνυπέρθετον ἑτέρηι ὀδύνη ι.
276	STOB. IV 24, 31 Δ—ου. οὐ δοκεῖ μοι χρῆναι παῖδας κτᾶσθα ι · ἐνορῶ γὰρ ἐν παίδων κτήσει πολλοὺς μὲν καὶ μεγάλους κινδύνου ς , πολλὰς δὲ λύπα ς , ὀλίγα δὲ τὰ εὐθηλέοντα καὶ ταῦτα λεπτά τε καὶ ἀσθενέ α.
277	— —32 τοῦ αὐτοῦ. ὅτεωι χρήμη τεά ἐστι παῖδα ποιήσασθα ι , ἐκ τῶν φίλων τεύ μοι δοκεῖ ἄμεινον εἶνα ι . καὶ τῶι μὲν παῖς ἔσται τοιοῦτο ς , οἷον ἂν βούλητα ι · ἔστι γὰρ ἐκλέξασθαι οἷον ἐθέλε ι · καὶ ὃς ἂν δοκῆι ἐπιτήδειος εἶνα ι , κἂν μάλιστα κατὰ φύσιν ἕποιτ ο . καὶ τοῦτο τοσοῦτον διαφέρε ι , ὅσον ἐνταῦθα μὲν ἔστι τὸν παῖδα λαβεῖν καταθύμιον ἐκ πολλῶ ν , οἷον ἂν δέη ι . ἢν δέ τις ποιῆται ἀπὸ ἑωυτο ῦ , πολλοὶ ἔνεισι κίνδυνο ι · ἀνάγκη γά ρ , ὃς ἂν γένητα ι , τούτωι χρῆσθα ι.
278	— —33 τοῦ αὐτοῦ. ἀνθρώποισι τῶν ἀναγκαίων δοκεῖ εἶναι παῖδας κτήσασθαι ἀπὸ φύσιος καὶ καταστάσιός τινος ἀρχαίη ς . δῆλον δὲ καὶ τοῖς ἄλλοις ζώιοισ ι · πάντα γὰρ ἔκγονα κτᾶται κατὰ φύσιν ἐπωφελείης γε οὐδεμιᾶς εἵνεκ α · ἀλ λ ’ ὅταν γένητα ι , ταλαιπωρεῖ καὶ τρέφει ἕκαστον ὡς δύναται καὶ ὑπερδέδοικ ε , μέχρι σμικρὰ ἦ ι , καὶ ἤν τι πάθη ι , ἀνιᾶτα ι . ἡ μὲν φύσις τοιαύτη πάντων ἐστὶν ὅσσα ψυχὴν ἔχε ι · τῶι δὲ δὴ ἀνθρώπωι νομίζον ἤδη πεποίητα ι , ὥστε καὶ ἐπαύρεσίν τινα γίγνεσθαι ἀπὸ τοῦ ἐκγόνο υ.
279	— —26, 25 Δ—ου. τοῖς παισὶ μάλιστα χρὴ τῶν ἀνυστῶν δατεῖσθαι τὰ χρήματ α , καὶ ἅμα ἐπιμέλεσθαι αὐτῶ ν , μή τι ἀτηρὸν ποιέωσι διὰ χειρὸς ἔχοντε ς · ἅμα μὲν γὰρ πολλὸν φειδότεροι γίγνονται ἐς τὰ χρήματα καὶ προθυμότεροι κτᾶσθα ι , καὶ ἀγωνίζονται ἀλλήλοισι ν . ἐν γὰρ τῶι ξυνῶι τὰ τελεύμενα οὐκ ἀνιᾶι ὥσπερ ἰδίηι οὐ δ ’ εὐθυμεῖ τὰ ἐπικτώμεν α , ἀλλὰ πολλῶι ἧσσο ν.
280	— —26, 26 τοῦ αὐτοῦ. ἔξεστιν οὐ πολλὰ τῶν σφετέρων ἀναλώσαντας παιδεῦσαί τε τοὺς παῖδας καὶ τεῖχός τε καὶ σωτηρίην περιβαλέσθαι τοῖς τε χρήμασι καὶ τοῖς σώμασιν αὐτῶ ν.
281	—31, 49 Δ—ου. ὥσπερ ἐν [ μὲ ν ] τοῖς ἕλκεσι φαγέδαινα κάκιστον νόσημ α , οὕτως ἐν τοῖς χρήμασι τὸ ... [μὴ προσαρμόσαν καὶ τὸ συνεχές].
282	— —120 Δ—ου. χρημάτων χρῆσις ξὺν νόωι μὲν χρήσιμον εἰς τὸ ἐλευθέριον εἶναι καὶ δημωφελέ α , ξὺν ἀνοίηι δὲ χορηγίη ξυνή (?).
283	—33, 23 Δ—ου. πενίη πλοῦτος ὀνόματα ἐνδείης καὶ κόρο υ · οὔτε οὖν πλούσιος 〈ὁ〉 ἐνδέων οὔτε πένης ὁ μὴ ἐνδέω ν.
284	— —24. 25 τοῦ αὐτοῦ. ἢν μὴ πολλῶν ἐπιθυμέηι ς , τὰ ὀλίγα τοι πολλὰ δόξε ι · σμικρὰ γὰρ ὄρεξις πενίην ἰσοσθενέα πλούτωι ποιέε ι.
285	— —65 Δ—ου. γινώσκειν χρεὼν ἀνθρωπίνην βιοτὴν ἀφαυρήν τε ἐοῦσαν καὶ ὀλιγοχρόνιον πολλῆισίν τε κηρσὶ συμπεφυρμένην καὶ ἀμηχανίηισι ν , ὅκως ἄν τις μετρίης τε κτήσιος ἐπιμέληται καὶ μετρῆται ἐπὶ τοῖς ἀναγκαίοις ἡ ταλαιπωρί η.
286	—39, 17 Δ—ου. εὐτυχὴς ὁ ἐπὶ μετρίοισι χρήμασιν εὐθυμεόμενο ς , δυστυχὴς δὲ ὁ ἐπὶ πολλοῖσι δυσθυμεόμενο ς.
287	—40, 20 Δ—ου. ἀπορίη ξυνὴ τῆς ἑκάστου χαλεπωτέρ η · οὐ γὰρ ὑπολείπεται ἐλπὶς ἐπικουρίη ς.
288	— —21 νόσος οἴκου καὶ βίου γίνεται ὅκωσπερ καὶ σκήνεο ς. * —41, 59 Δ—ου. οὐκ ἔστιν οὕτως ἀσφαλὴς πλούτου πυλεών, ὃν οὐκ ἀνοίγει τύχης καιρός.
289	—44, 64 Δ—ου. ἀλογιστίη μὴ ξυγχωρέειν ταῖσι κατὰ τὸν βίον ἀνάγκαι ς.
290	— —67 Δ—ου. λύπην ἀδέσποτον ψυχῆς ναρκώσης λογισμῶι ἔκκρου ε.
291	— —70 τοῦ αὐτοῦ. πενίην ἐπιεικέως φέρειν σωφρονέοντο ς.
292	— —19 Δ—ου. ἄλογοι τῶν ἀξυνέτων αἱ ἐλπίδε ς.
293	—48, 10 Δ—ου. οἷσιν ἡδονὴν ἔχουσιν αἱ τῶν πέλας ξυμφορα ί , οὐ ξυνιᾶσι μὲν ὡς τὰ τῆς τύχης κοινὰ πᾶσι ν , ἀπορέουσι δὲ οἰκηίης χαρᾶ ς.
294	—50, 20 Δ—ου. ἰσχὺς καὶ εὐμορφίη νεότητος ἀγαθ ά , γήραος δὲ σωφροσύνη ἄνθο ς.
295	— —22 Δ—ου. ὁ γέρων νέος ἐγένετ ο , ὁ δὲ νέος ἄδηλον εἰ ἐς γῆρας ἀφίξετα ι · τὸ τέλειον οὖν ἀγαθὸν τοῦ μέλλοντος ἔτι καὶ ἀδήλου κρέσσο ν.
296	—76 Δ—ου. γῆρας ὁλόκληρός ἐστι πήρωσι ς · πάν τ ’ ἔχει καὶ πᾶσιν ἐνδε ῖ.
297	—52, 40 [IV 34, 62] Δ—ου. ἔνιοι θνητῆς φύσεως διάλυσιν οὐκ εἰδότες ἄνθρωπο ι , συνειδήσει δὲ τῆς ἐν τῶι βίωι κακοπραγμοσύνη ς , τὸν τῆς βιοτῆς χρόνον ἐν ταραχαῖς καὶ φόβοις ταλαιπωρέουσ ι , ψεύδεα περὶ τοῦ μετὰ τὴν τελευτὴν μυθοπλαστέοντες χρόνο υ.
298	[SUID.] S. V. α. βραχέως δὲ καὶ δασέως (also ἅ) τὸ ἅτινα ὡς παρ’ Ἱπποκράτει, παρὰ δὲ Δημοκρίτωι ἴδια, παρ’ Ὁμήρωι τὰ ἑαυτοῦ.
298a	DEMETR. de poem. B 20 [Voll. herc. 2 V 16 fr. 28, 4; Crönert Kolot. S. 107. 130.] ‘ἐρώ〈ει〉, φη〈σί〉, σαφῶς τὸν ἐν τῶι θώρηκί σου συνιστάμενον θυμὸν καὶ ταράσ〈σειν〉 τὴν ψυχὴν φυλάσ〈σου〉 μηδὲ πάντα ἐπίτρεπε τῆι γλώσσηι 〈πρή〉γματ’ αἰεί.‘ φυλάσσειν 〈ο〉ὖ̣〈ν τοῦ〉το δεῖν 〈ἡ〉μ〈ᾶσ〉 τὸ 〈μέροσ〉 ἐν ὧ〈ι κεῖται τὸ θυμικόν〉.
298b	ΠΕΡΙ ΤΩΝ ΕΝ ΒΑΒΥΛΩΝΙ ΙΕΡΩΝ ΓΡΑΜΜΑΤΩΝ.
299	CLEM. Strom. I 15, 69 [II 43, 13 St.]: Δ. γὰρ τοὺς Βαβυλωνίους λόγους ἠθικοὺς [?] πεποίηται· λέγεται γὰρ τὴν Ἀκικάρου στήλην ἑρμηνευθεῖσαν τοῖς ἰδίοις συντάξαι συγγράμμασι. κἄστιν ἐπισημήνασθαι παρ’ αὐτοῦ ‘ τάδε λέγει Δημόκριτοσ ‘ γράφοντος. ναὶ μὴν καὶ περὶ αὑτοῦ [γράφει], ἧι σεμνυνόμενός φησί που ἐπὶ πολυμαθίαι. ‘ ἐγὼ δὲ τῶν κα τ ’ ἐμαυτὸν ἀνθρώπων γῆν πλείστην ἐπεπλανησάμην ἱστορέων τὰ μήκιστα καὶ ἀέρας τε καὶ γέας πλείστας εἶδον καὶ λογίων ἀνδρῶν πλείστων ἐπήκουσα καὶ γραμμέων συνθέσιος μετὰ ἀποδείξεως οὐδείς κώ με παρήλλαξεν οὐ δ ’ οἱ Αἰγυπτίων καλεόμενοι Ἀρπεδονάπτα ι · σὺν τοῖς δ ’ ἐπὶ πᾶσιν ἐ π ’ ἔτεα † ὀγδώκοντα ἐπὶ ξείνης ἐγενήθην ‘. ἐπῆλθε γὰρ Βαβυλῶνά τε καὶ Περσίδα καὶ Αἴγυπτον τοῖς τε μάγοις καὶ τοῖς ἱερεῦσι μαθητεύων.
299a	ΠΕΡΙ ΤΩΝ ΕΝ ΜΕΡΟΗΙ.
299b	ΩΚΕΑΝΟΥ ΠΕΡΙΠΛΟΥΣ.
299c	ΠΕΡΙ ΙΣΤΟΡΙΗΣ.
299d	ΧΑΛΔΑΙΚΟΣ ΛΟΓΟΣ.
299e	ΦΡΥΓΙΟΣ ΛΟΓΟΣ.
299f	ΠΕΡΙ ΠΥΡΕΤΟΥ ΚΑΙ ΤΩΝ ΑΠΟ ΝΟΣΟΥ ΒΗΣΣΟΝΤΩΝ.
299g	ΝΟΜΙΚΑ ΑΙΤΙΑ.
299h	ΧΕΡΝΙΚΑ [oder ΧΕΡΝΙΒΑ] Η ΠΡΟΒΛΗΜΑΤΑ.
300 (tit1)	ΒΩΛΟΥ ΧΕΙΡΟΚΜΗΤΑ und ΦΥΣΙΚΑ ΔΥΝΑΜΕΡΑ (ΠΕΡΙ ΣΥΜΠΑΘΕΙΩΝ ΚΑΙ ΑΝΤΙΠΑΘΕΙΩΝ)
300,1	SUID. Βῶλος Μενδήσιος Πυθαγόρειος. Περὶ τῶν ἐκ τῆς ἀναγνώσεως τῶν ἱστοριῶν εἰς ἐπίστασιν ἡμᾶς ἀγόντων, Περὶ θαυμασίων, Φυσικὰ δυναμερ ά· ἔχει δὲ Περὶ συμπαθειῶν καὶ ἀντιπαθειῶν ... λίθων κατὰ στοιχεῖον, Περὶ σημείων τῶν ἐξ ἡλίου καὶ σελήνης καὶ ἄρκτου καὶ λύχνου καὶ ἴριδος. Aus anderer Quelle Βῶλος Δημόκριτος φιλόσοφος. Ἱστορίαν καὶ Τέχνην ἰατρικήν (ἔχει δὲ ἰάσεις φυσικὰς ἀπό τινων βοηθημάτων τῆς φύσεως).
300,2	VITRUV. IX 1, 14 admiror etiam Democriti De rerum natura volumina et eius commentarium quod inscribitur Χειροκμήτω ν, in quo etiam utebatur anulo, 〈ut〉 signaret cera molli quae esset expertus. PLIN. N. H. XXIV 160 Democriticerte Chirocmeta esse constat; at in his ille post Pythagoram magorum studiosissimus quanto portentosiora tradit! ut aglaophotim herbam quae admiratione hominum propter eximium colorem acceperit nomen, in marmoribus Arabiae nascentem Persico latere, qua de causa et marmaritim vocari. hac magos uti, cum velint deos evocare. (167) adiecit his Apollodorus adsectator eius [ vgl. unten c. 74] herbam aeschynomenen.
300,3	COLUM. VII 5, 17 sed Aegyptiae gentis auctor memorabilis Bolus Mendesius, cuius commenta quae appellantur graece Χειρόκμητα sub nomine Democriti falso produntur, censet propter hanc [ pusula] saepius ac diligenter ovium terga perspicere, ut si forte sit in aliqua tale vitium deprehensum confestim scrobem defodiamus in limine stabuli et vivam pecudem quae fuerit pusulosa resupinam obruamus patiamurque super obrutam meare totum gregem, quod eo facto morbus propulsetur. XI 3, 53 nos autem leviore opera istud fieri apud Aegyptiae gentis Bolum Mendesium legimus, qui praecipit aprico et stercoroso loco alternis ordinibus ferulas alternis rubos in hortis consitas habere. deinde eas confecto aequinoctio paululum infra terram secare etc. (61) veteres quidam auctores ut Democritus praecipiunt semina omnia suco herbae quae sedum appellatur medicare eodemque remedio adversus bestiolas uti. (64) sed D. in eo libro qui graece inscribitur Περὶ ἀντιπαθῶν affirmat has ipsas bestiolas enecari, si mulier quae in menstruis est solutis crinibus et nudo pede unamquamque aream ter circumeat: post hoc enim decidere omnes vermiculos et ita emori.
300,4	SCHOL. NICANDR. Ther. 764 Βῶλος δὲ ὁ Δημοκρίτειος ἐν τῶι Περὶ συμπαθῶν καὶ ἀντιπαθῶν Πέρσας φησὶν ἔχοντας παρ’ ἑαυτοῖς θανάσιμον φυτὸν φυτεῦσαι ἐν Αἰγύπτωι ὡς πολλῶν μελλόντων ἀναιρεθήσεσθαι, τὴν δὲ ἀγαθὴν οὖσαν εἰς τοὐναντίον μεταβαλεῖν ποιῆσαί τε τὸ φυτὸν καρπὸν γλυκύτατον.
300,4a	CRATEUAS ed. M. Wellmann 18, 14 [Abh. d. G. G. d. W. N. F. II 1] Ἀναγαλλίδες ... χρῶνται δ’ αὐτῆι καὶ εἰς τὰς Δημοκρίτου δυνάμεις.
300,5	PLUT. Quaest. conv. II 7, 1 p. 641 B ἦσαν δὲ καὶ οἱ τὰς ἀντιπαθείας θρυλοῦντες καὶ ἄλλα πολλὰ παθόντων (?) ἦν ἀκούειν· ὅτι μαινόμενον ἐλέφαντα καταπαύει κριὸς ὀφθείς κτλ.
300,6	PLIN. N. H. XXV 23 composuit et Democritus, ambo peragratis Persidis, Arabiae, Aethiopiae, Aegypti magis; adeoque ad haec attonita antiquitas fuit, ut adfirmaverit etiam incredibilia dictu. PETRON. 88, 2 priscis enim temporibus, cum adhuc nuda virtus placeret, vigebant artes ingenuae summumque certamen inter homines erat, ne quid profuturum saeculis diu lateret. itaque herbarum omnium sucos Democritus expressit, et ne lapidum virgultorumque vis lateret, aetatem inter experimenta consumpsit.
