Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 138	ὅσοι γὰρ εἰς ἔρωτα πίπτουσιν βροτῶν, ἐσθλῶν ὅταν τύχωσι τῶν ἐρωμένων, οὐκ ἔσθ’ ὁποίας λείπεται τόδ’ ἡδονῆς.
book 139.1	αἰαῖ, τί δράσω; πρὸς τίνας
book 139.2	στρεφθῶ λόγους; ἀλλ’ οὐκ ἂν ἐνδέξαιτο βάρβαρος φύσις.
book 140.1	ὦ τλῆμον, ὡς
book 140.2	σοὶ τὰς τύχας μὲν ἀσθενεῖς ἔδωχ’ ὁ δαίμων, μέγα
book 140.3	φρονοῦσι δ’ οἱ λόγοι.
book 141.1	ἐγὼ δὲ παῖδας οὐκ ἐῶ νόθους λαβεῖν· τῶν γνησίων γὰρ οὐδὲν ὄντες ἐνδεεῖς νόμῳ νοσοῦσιν· ὅ σε
book 141.2	φυλάξασθαι
book 141.3	χρεών.
book 142.1	χρυσὸν μάλιστα βούλομαι δόμοις ἔχειν· καὶ δοῦλος ὢν γὰρ τίμιος
book 142.2	πλουτῶν ἀνήρ, ἐλεύθερος δὲ χρεῖος ὢν οὐδὲν
book 142.3	σθένει. χρυσοῦ νόμιζε
book 142.4	σαυτὸν εἵνεκ’ εὐτυχεῖν.
book 143.1	χρήμασιν γὰρ εὐτυχῶ· ταῖς
book 143.2	συμφοραῖσι δ’, ὡς ὁρᾷς, οὐκ εὐτυχῶ.
book 144	μὴ τὸν ἐμὸν οἴκει νοῦν· ἐγὼ γὰρ ἀρκέσω.
book 145	ὁρῶ δὲ πρὸς τὰ παρθένου θοινάματα κῆτος θοάζον ἐξ Ἀτλαντικῆς ἁλός.
book 146.1	πᾶς δὲ ποιμένων ἔρρει λεώς, ὃ μὲν γάλακτος κίσσινον φέρων
book 146.2	σκύφος πόνων ἀναψυκτῆρ’, ὃ δ’ ἀμπέλων γάνος.
book 147	οἱ κατ’ οἶκον ἀμφὶ δαῖτα καὶ τράπεζαν
book 148	τέλειος
book 149.1	νεότης μ’ ἐπῆρε καὶ θράσος
book 149.2	τοῦ νοῦ πλέον.
book 150	οὐκ ἔστιν ὅστις εὐτυχὴς ἔφυ βροτῶν, ὃν μὴ τὸ θεῖον ὡς τὰ πολλὰ συνθέλει.
book 151.1	τήν
book 151.2	τοι Δίκην λέγουσι
book 151.3	παῖδ’ εἶναι Διὸς ἐγγύς
book 151.4	τε ναίειν τῆς βροτῶν ἁμαρτίας.
book 152	... τὸ δαιμόνιον οὐχ ὁρᾷς ὅπῃ μοίρας διεξέρχεται; στρέφει δ’ ἄλλους ἄλλως εἰς ἁμέραν.
book 153.1	ὃ μὲν ὄλβιος ἦν, τὸ δ’ ἀπέκρυψεν θεὸς ἐκ κείνων τῶν
book 153.2	ποτε λαμπρῶν· νεύει βίοτος, νεύει δὲ τύχα κατὰ πνεῦμ’ ἀνέμων.
book 154.1	[spk_〈α.〉]〈Α.〉 τὸ ζῆν ἀφέντες τὸ κατὰ γῆς
book 154.2	τιμῶσί σου. 〈Β.〉 κενόν γ’· ὅταν γὰρ ζῇ τις, εὐτυχεῖ χρεών.
book 155	ἀγρεύματα
book 156	ἀμείβεται
book 157	Ἦν Οἰδίπους τὸ πρῶτον εὐδαίμων ἀνήρ
book 158	εἶτ’ ἐγένετ’ αὖθις ἀθλιώτατος βροτῶν.
book 159	χρυσεόνωτον ἀσπίδα τὰν Καπανέως
book 160.1	νέοι νέοισι
book 160.2	συννοσοῦσι τἀφανῆ.
book 161	ἤρων· τὸ μαίνεσθαι δ’ ἄρ’ ἦν ἔρως βροτοῖς.
book 162.1	ἀνδρὸς δ’ ὁρῶντος εἰς Κύπριν νεανίου ἀφύλακτος ἡ τήρησις, ὡς κἂν
book 162.2	φαῦλος ᾖ τἄλλ’, εἰς ἔρωτα πᾶς ἀνὴρ
book 162.3	σοφώτατος· ἢν δ’ ἂν
book 162.4	προσῆται Κύπρις, ἥδιστον λαβεῖν.
book 163	ἀνδρὸς φίλου δὲ χρυσὸς ἀμαθίας μέτα ἄχρηστος, εἰ μὴ κἀρετὴν ἔχων τύχοι.
book 164.1	ἄριστον ἀνδρὶ κτῆμα
book 164.2	συμπαθὴς γυνή.
book 165.1	ἄκουσον· οὐ γὰρ οἱ κακῶς
book 165.2	πεπραγότες σὺν
book 165.3	ταῖς τύχαισι
book 165.4	τοὺς λόγους ἀπώλεσαν.
book 166	τὸ μῶρον αὐτῷ τοῦ πατρὸς νόσημ’ ἔνι· φιλεῖ γὰρ οὕτως ἐκ κακῶν εἶναι κακούς.
book 167.1	ἡ γὰρ δόκησις
book 167.2	πατράσι
book 167.3	παῖδας εἰκέναι· τὰ πολλὰ ταύτῃ γίγνεται τέκνων πέρι.
book 168	ὀνόματι μεμπτὸν τὸ νόθον, ἡ φύσις δ’ ἴση.
book 169	.. ἐπ’ ἄκραν ἥκομεν γραμμὴν κακῶν.
book 170.1	οὐκ ἔστι
book 170.2	Πειθοῦς ἱερὸν ἄλλο
book 170.3	πλὴν λόγος, καὶ βωμὸς αὐτῆς ἔστ’ ἐν ἀνθρώπου φύσει.
book 171.1	δεῖ τοῖσι
book 171.2	πολλοῖς τὸν τύραννον ἁνδάνειν.
book 172.1	οὔτ’ εἰκὸς ἄρχειν οὔτε
book 172.2	χρῆν εἶναι νόμον τύραννον εἶναι· μωρία δὲ καὶ θέλειν ὃς τῶν ὁμοίων βούλεται κρατεῖν μόνος.
book 173.1	οἰκεῖος ἀνθρώποισι γίγνεσθαι
book 173.2	φιλεῖ πόλεμος ἐν ἀστοῖς, ἢν διχοστατῇ πόλις.
book 174.1	[μὴ οὖν ἔθελε λυπεῖν
book 174.2	σαυτὸν ἐξειδὼς ὅτι
book 174.3	πολλάκι τὸ λυποῦν ὕστερον
book 174.4	χαρὰν ἄγει καὶ τὸ κακὸν ἀγαθοῦ γίγνεται
book 174.5	παραίτιον.]
book 175	ὅστις δὲ πρὸς τὸ πῖπτον εὐλόφως φέρει, τὸν δαίμον’ οὗτος ἧσσόν ἐστιν ἄθλιος.
book 176.1	θάνατος γὰρ ἀνθρώποισι νεικέων τέλος ἔχει· μαθεῖν δὲ πᾶσίν ἐστιν εὐμαρές. τίς γὰρ
book 176.2	πετραῖον
book 176.3	σκόπελον οὐτάζων δορὶ ὀδύναισι δώσει; τίς δ’ ἀτιμάζων νέκυς,[ln_5]εἰ μηδὲν αἰσθάνοιντο τῶν
book 176.4	παθημάτων;
book 177	ὦ παῖ Διώνης, ὡς ἔφυς μέγας θεός, Διόνυσε, θνητοῖς τ’ οὐδαμῶς ὑποστατός.
book 179.1	Οἰνόῃ σύγχορτα ναίω
book 179.2	πεδία
book 179.3	ταῖς τ’ Ἐλευθεραῖς
book 180	Ὑσιαί
book 181	τὸν μὲν κίκλησκε Ζῆθον· ἐζήτησε γὰρ τόκοισιν εὐμάρειαν ἡ τεκοῦσά νιν.
book 183.1	λαμπρός θ’ ἕκαστος κἀπὶ τοῦτ’ ἐπείγεται νέμων τὸ πλεῖστον ἡμέρας
book 183.2	τούτῳ μέρος, ἵν’ αὐτὸς αὑτοῦ τυγχάνει κράτιστος ὤν.
book 184.1	μοῦσάν
book 184.2	τιν’ ἄτοπον εἰσάγεις, ἀσύμφορον, ἀργόν, φίλοινον, χρημάτων ἀτημελῆ.
book 185.1	... ἀμελεῖς ὧν 〈σε
book 185.2	φροντίζειν ἐχρῆν·〉 ψυχῆς φύσιν 〈γὰρ〉 ὧδε γενναίαν 〈λαχὼν〉 γυναικομίμῳ διαπρέπεις μορφώματι ..... κοὔτ’ ἂν ἀσπίδος κύτει[ln_5]〈καλῶσ〉 ὁμιλήσειας οὔτ’ ἄλλων ὕπερ νεανικὸν βούλευμα βουλεύσαιό 〈τι〉.
book 186.1	πῶς γὰρ
book 186.2	σοφὸν
book 186.3	τοῦτ’ ἔστιν, ἥτις εὐφυᾶ λαβοῦσα τέχνη φῶτ’ ἔθηκε
book 186.4	χείρονα;
book 187.1	ἀνὴρ γὰρ ὅστις εὖ βίον κεκτημένος τὰ μὲν κατ’ οἴκους ἀμελίᾳ παρεὶς ἐᾷ, μολπαῖσι δ’ ἡσθεὶς
book 187.2	τοῦτ’ ἀεὶ θηρεύεται, ἀργὸς μὲν οἴκοις καὶ πόλει γενήσεται,[ln_5]φίλοισι δ’ οὐδείς· ἡ φύσις γὰρ οἴχεται, ὅταν γλυκείας ἡδονῆς ἥσσων
book 187.3	τις ᾖ.
book 188.1	ἀλλ’ ἐμοὶ πιθοῦ· παῦσαι μελῳδῶν, πολέμων δ’ εὐμουσίαν ἄσκει· τοιαῦτ’ ἄειδε καὶ δόξεις
book 188.2	φρονεῖν, σκάπτων, ἀρῶν γῆν, ποιμνίοις ἐπιστατῶν,[ln_5]ἄλλοις τὰ κομψὰ ταῦτ’ ἀφεὶς
book 188.3	σοφίσματα, ἐξ ὧν κενοῖσιν ἐγκατοικήσεις δόμοις.
book 189.1	ἐκ
book 189.2	παντὸς ἄν
book 189.3	τις
book 189.4	πράγματος δισσῶν λόγων ἀγῶνα θεῖτ’ ἄν, εἰ λέγειν εἴη
book 189.5	σοφός.
book 190	λύρα βοῶν .. ῥύσι’ ἐξερρύσατο
book 191	.. κρεῖσσον ὄλβου κτῆμα
book 192.1	χρόνος θεῶν
book 192.2	τε πνεῦμ’ ἔρως θ’ ὑμνῳδίας
book 193.1	ὅστις δὲ πράσσει
book 193.2	πολλὰ μὴ πράσσειν
book 193.3	παρόν, μῶρος, παρὸν ζῆν ἡδέως ἀπράγμονα.
book 194.1	ὁ δ’ ἥσυχος φίλοισί τ’ ἀσφαλὴς φίλος πόλει τ’ ἄριστος. μὴ τὰ κινδυνεύματα αἰνεῖτ’· ἐγὼ γὰρ οὔτε ναυτίλον
book 194.2	φιλῶ τολμῶντα λίαν οὔτε
book 194.3	προστάτην
book 194.4	χθονός.
book 195.1	ἅπαντα τίκτει
book 195.2	χθὼν πάλιν
book 195.3	τε λαμβάνει.
book 196.1	τοιόσδε θνητῶν τῶν
book 196.2	ταλαιπώρων βίος· οὔτ’ εὐτυχεῖ τὸ πάμπαν οὔτε δυστυχεῖ. [εὐδαιμονεῖ τε καὖθις οὐκ εὐδαιμονεῖ.] τί δῆτ’ ἐν ὄλβῳ μὴ σαφεῖ βεβηκότες[ln_5]οὐ ζῶμεν ὡς ἥδιστα μὴ λυπούμενοι;
book 197	βροτοῖσιν εὔκρας οὐ γένοιτ’ ἂν ἡδονή.
book 198.1	εἰ δ’ εὐτυχῶν
book 198.2	τις καὶ βίον κεκτημένος μηδὲν δόμοισι τῶν καλῶν
book 198.3	πειράσεται, ἐγὼ μὲν οὔποτ’ αὐτὸν ὄλβιον καλῶ, φύλακα δὲ μᾶλλον
book 198.4	χρημάτων εὐδαίμονα.
book 199	τὸ δ’ ἀσθενές μου καὶ τὸ θῆλυ σώματος κακῶς ἐμέμφθης· εἰ γὰρ εὖ φρονεῖν ἔχω, κρεῖσσον τόδ’ ἐστὶ καρτεροῦ βραχίονος.
book 200.1	γνώμαις γὰρ ἀνδρὸς εὖ μὲν οἰκοῦνται πόλεις, εὖ δ’ οἶκος, εἴς τ’ αὖ πόλεμον ἰσχύει μέγα· σοφὸν γὰρ ἓν βούλευμα τὰς
book 200.2	πολλὰς χέρας νικᾷ, σὺν ὄχλῳ δ’ ἀμαθία
book 200.3	πλεῖστον κακόν.
book 201.1	καὶ μὴν ὅσοι μὲν
book 201.2	σαρκὸς εἰς εὐεξίαν ἀσκοῦσι βίοτον, ἢν
book 201.3	σφαλῶσι
book 201.4	χρημάτων, κακοὶ πολῖται· δεῖ γὰρ ἄνδρ’ εἰθισμένον ἀκόλαστον ἦθος γαστρὸς ἐν
book 201.5	ταὐτῷ μένειν.
book 202.1	ἐγὼ μὲν οὖν ᾄδοιμι καὶ λέγοιμί τι
book 202.2	σοφόν, ταράσσων μηδὲν ὧν πόλις νοσεῖ.
book 203	ἔνδον δὲ θαλάμοις βουκόλον .... κομῶντα κισσῷ στῦλον εὐίου θεοῦ.
book 204	πόλλ’ ἔστιν ἀνθρώποισιν, ὦ ξένοι, κακά.
book 205.1	φρονῶ δ’ ὃ πάσχω, καὶ τόδ’ οὐ σμικρὸν κακόν· τὸ μὴ εἰδέναι γὰρ ἡδονὴν ἔχει
book 205.2	τινὰ νοσοῦντα, κέρδος δ’ ἐν κακοῖς ἀγνωσία.
book 206.1	ὦ παῖ, γένοιντ’ ἂν εὖ λελεγμένοι λόγοι
book 206.2	ψευδεῖς, ἐπῶν δὲ κάλλεσιν νικῷεν ἂν τἀληθές· ἀλλ’ οὐ τοῦτο τἀκριβέστατον, ἀλλ’ ἡ φύσις καὶ τοὐρθόν· ὃς δ’ εὐγλωσσίᾳ[ln_5]νικᾷ, σοφὸς μέν, ἀλλ’ ἐγὼ τὰ πράγματα κρείσσω νομίζω τῶν λόγων ἀεί ποτε.
book 207	κύουσα τίκτω ἡνίκ’ ἠγόμην πάλιν
book 208.1	εἰ δ’ ἠμελήθην ἐκ θεῶν καὶ παῖδ’ ἐμώ, ἔχει λόγον καὶ τοῦτο· τῶν
book 208.2	πολλῶν βροτῶν δεῖ τοὺς μὲν εἶναι δυστυχεῖς, τοὺς δ’ εὐτυχεῖς.
book 209.1	οὐ σωφρονίζειν ἔμαθον· αἰδεῖσθαι δὲ χρή, γύναι, τὸ λίαν καὶ φυλάσσεσθαι
book 209.2	φθόνον.
book 210.1	οὐδὲ γὰρ λάθρᾳ δοκῶ φωτὸς κακούργου
book 210.2	σχήματ’ ἐκμιμούμενον
book 210.3	σοὶ Ζῆν’ ἐς εὐνὴν ὥσπερ ἄνθρωπον μολεῖν.
book 211.1	φεῦ φεῦ, βροτείων
book 211.2	πημάτων ὅσαι τύχαι ὅσαι
book 211.3	τε μορφαί· τέρμα δ’ οὐκ εἴποι
book 211.4	τις ἄν.
book 212.1	εἰ νοῦς ἔνεστιν· εἰ δὲ μή, τί δεῖ καλῆς γυναικός, εἰ μὴ τὰς
book 212.2	φρένας
book 212.3	χρηστὰς ἔχοι;
book 213.1	κόρος δὲ πάντων· καὶ γὰρ ἐκ καλλιόνων λέκτροις ἐπ’ αἰσχροῖς εἶδον ἐκπεπληγμένους, δαιτὸς δὲ πληρωθείς
book 213.2	τις ἄσμενος πάλιν
book 213.3	φαύλῃ διαίτῃ προσβαλὼν ἥσθη
book 213.4	στόμα.
book 214.1	κῆδος καθ’ αὑτὸν τὸν
book 214.2	σοφὸν κτᾶσθαι
book 214.3	χρεών.
book 215	πᾶσι δ’ ἀγγέλλω βροτοῖς ἐσθλῶν ἀπ’ ἀλόχων εὐγενῆ σπείρειν τέκνα.
book 216	οὐ χρή ποτ’ ἄνδρα δοῦλον ὄντ’ ἐλευθέρας γνώμας διώκειν οὐδ’ ἐς ἀργίαν βλέπειν.
book 217	.. τὸ δοῦλον οὐχ ὁρᾷς ὅσον κακόν;
book 218.1	φεῦ φεῦ, τὸ δοῦλον ὡς ἁπανταχῇ γένος
book 218.2	πρὸς τὴν ἐλάσσω μοῖραν ὥρισεν θεός.
book 219.1	κόσμος δὲ σιγὴ στεγανὸς ἀνδρὸς οὐ κακοῦ· τὸ δ’ ἐκλαλοῦν
book 219.2	τοῦθ’ ἡδονῆς μὲν ἅπτεται, κακὸν δ’ ὁμίλημ’, ἀσθενὲς δὲ καὶ πόλει.
book 220.1	πολλοὶ δὲ θνητῶν
book 220.2	τοῦτο πάσχουσιν κακόν· γνώμῃ φρονοῦντες οὐ θέλους’ ὑπηρετεῖν
book 220.3	ψυχῇ τὰ πολλὰ πρὸς φίλων νικώμενοι.
book 221	εἰ δέ που τύχοι πέριξ ἑλίξας εἷλκε .. ὁμοῦ λαβὼν γυναῖκα πέτραν δρῦν μεταλλάσσων ἀεί.
book 222.1	τήν
book 222.2	τοι Δίκην λέγουσι
book 222.3	παῖδ’ εἶναι
book 222.4	χρόνου, δείκνυσι δ’ ἡμῶν ὅστις ἐστὶ μὴ κακός.
book 223.1	Δίκα
book 223.2	τοι Δίκα
book 223.3	χρόνιος, ἀλλ’ ὅμως ὑποπεσοῦς’ ἔλαθεν, ὅταν ἔχῃ τιν’ ἀσεβῆ βροτῶν.
book 224	Ζῆθον μὲν ἐλθόνθ’ ἁγνὸν ἐς Θήβης πέδον οἰκεῖν κελεύω, τὸν δὲ μουσικώτατον κλεινὰς Ἀθήνας ἐκπερᾶν Ἀμφίονα.
book 226	νόσον ἔχειν
book 227	εὐθύδημον
book 228.1	Δαναὸς ὁ πεντήκοντα θυγατέρων
book 228.2	πατὴρ Νείλου λιπὼν κάλλιστον ἐκ γαίας ὕδωρ, ὃς ἐκ μελαμβρότοιο
book 228.3	πληροῦται ῥοὰς Αἰθιοπίδος γῆς, ἡνίκ’ ἂν
book 228.4	τακῇ χιὼν[ln_5]τέθριππ’ ἄγοντος ἡλίου κατ’ αἰθέρα, ἐλθὼν ἐς Ἄργος ᾤκις’ Ἰνάχου πόλιν· Πελασγιώτας δ’ ὠνομασμένους τὸ πρὶν Δαναοὺς καλεῖσθαι νόμον ἔθηκ’ ἀν’ Ἑλλάδα.
book 229.1	βασιλεῦ χώρας τῆς
book 229.2	πολυβώλου Κισσεῦ, πεδίον
book 229.3	πυρὶ μαρμαίρει
book 230.1	οὐ γὰρ ὑπερθεῖν κύματος ἄκραν δυνάμεσθ’· ἔτι γὰρ θάλλει
book 230.2	πενία κακὸν ἔχθιστον, φεύγει δ’ ὄλβος.
book 231.1	ἡμῶν τί δῆτα
book 231.2	τυγχάνεις
book 231.3	χρείαν ἔχων; πατέρων γὰρ ἐσθλῶν ἐλπίδας δίδως γεγώς.
book 232.1	ἐν
book 232.2	τοῖς τέκνοις γὰρ ἁρετὴ τῶν εὐγενῶν ἔλαμψε, κρεῖσσόν τ’ ἐστὶ πλουσίου γάμου 〈γένοσ〉· πένης γὰρ οὐκ ἐκεῖν’ ἀπώλεσεν τὸ τοῦ πατρὸς γενναῖον.
book 233.1	σοὶ δ’ εἶπον, ὦ παῖ, τὰς τύχας ἐκ τῶν πόνων θηρᾶν ὁρᾷς γὰρ
book 233.2	πατέρα σὸν
book 233.3	τιμώμενον.
book 234.1	πατρὸς δ’ ἀνάγκη
book 234.2	παισὶ πείθεσθαι λόγῳ.
book 235	πλουτεῖς, ὁ πλοῦτος δ’ ἀμαθία δειλόν θ’ ἅμα.
book 236	σὺν μυρίοισι τὰ καλὰ γίγνεται πόνοις.
book 237.1	νεανίαν γὰρ ἄνδρα
book 237.2	χρὴ τολμᾶν ἀεί· οὐδεὶς γὰρ ὢν ῥᾴθυμος εὐκλεὴς ἀνήρ, ἀλλ’ οἱ πόνοι τίκτουσι τὴν εὐδοξίαν.
book 238	οὐκ ἔστιν ὅστις ἡδέως ζητῶν βιοῦν εὔκλειαν εἰσεκτήσατ’, ἀλλὰ χρὴ πονεῖν.
book 239	ὁ δ’ ἡδὺς αἰὼν ἡ κακή τ’ ἀνανδρία οὔτ’ οἶκον οὔτε πόλιν ἀνορθώσειεν ἄν.
book 240	ἐμὲ δ’ ἄρ’ οὐ μοχθεῖν δίκαιον; τίς δ’ ἄμοχθος εὐκλεής; τίς τῶν μεγίστων δειλὸς ὢν ὠρέξατο;
book 241	ἐγὼ δὲ τὸν σὸν κρᾶτ’ ἀναστέψαι θέλω.
book 242.1	φέρει δὲ καὶ τοῦτ’ οὐχὶ μικρόν, εὐγενὴς ἀνὴρ
book 242.2	στρατηγῶν εὐκλεᾶ τ’ ἔχων φάτιν.
book 243.1	ὀλίγον ἄλκιμον δόρυ κρεῖσσον
book 243.2	στρατηγοῦ μυρίου
book 243.3	στρατεύματος.
book 244.1	ὀλίγοι γὰρ ἐσθλοὶ κρείσσονες
book 244.2	πολλῶν κακῶν.
book 245.1	ἓν δέ σοι μόνον
book 245.2	προφωνῶ, μὴ ἐπὶ δουλείαν
book 245.3	ποτὲ ζῶν ἑκὼν ἔλθῃς
book 245.4	παρὸν
book 245.5	σοὶ κατθανεῖν ἐλευθέρῳ.
book 246.1	νεανίας
book 246.2	τε καὶ πένης
book 246.3	σοφός θ’ ἅμα· ταῦτ’ εἰς ἓν ἐλθόντ’ ἄξι’ ἐνθυμήσεως.
book 247.1	τί δ’ οὐκ ἂν εἴη
book 247.2	χρηστὸς ὄλβιος γεγώς;
book 248.1	οὐκ ἔστι
book 248.2	πενίας ἱερὸν αἰσχίστης θεοῦ. μισῶ γὰρ ὄντως οἵτινες
book 248.3	φρονοῦσι μέν, φρονοῦσι δ’ οὐδὲν ὥς γε
book 248.4	χρημάτων ὕπερ.
book 249.1	μὴ πλούσιον θῇς· ἐνδεέστερος γὰρ ὢν
book 249.2	ταπεινὸς ἔσται· κεῖνο δ’ ἰσχύει μέγα, πλοῦτος λαβών 〈τε〉 τοῦτον εὐγενὴς ἀνήρ.
book 250	τυραννίδ’ ἣ θεῶν δευτέρα νομίζεται· τὸ μὴ θανεῖν γὰρ οὐκ ἔχει, τὰ δ’ ἄλλ’ ἔχει.
book 251.1	κρείσσω γὰρ οὔτε δοῦλον οὔτ’ ἐλεύθερον
book 251.2	τρέφειν ἐν οἴκοις ἀσφαλὲς
book 251.3	τοῖς σώφροσιν.
book 252.1	ἐκ τῶν δικαίων γὰρ νόμοι τ’ αὐξήματα μεγάλα φέρουσι πάντα δ’ ἀνθρώποις .. τάδ’ ἐστὶ χρήματ’, ἤν
book 252.2	τις εὐσεβῇ θεόν.
book 253.1	ἁπλοῦς ὁ μῦθος, μὴ λέγ’ εὖ· τὸ γὰρ λέγειν εὖ δεινόν ἐστιν, εἰ φέρει
book 253.2	τινα βλάβην.
book 254	πόλλ’, ὦ τέκνον, σφάλλουσιν ἀνθρώπους θεοί. τὸ ῥᾷστον εἶπας, αἰτιάσασθαι θεούς.
