Works of Libanius
Ἔργα Λιβανίου
by Libanius of Antioch
eul_wid: swk-ah    eul_aid: swk

Period   Late Antique
Dialect  Atticizing
Domain   Oratory
Format   Oration

The surviving works of Libanius of Antioch constitute one of the most extensive and significant literary corpora from a single author in Late Antiquity. Composed in refined Attic Greek during the mid-to-late fourth century CE, the collection encompasses sixty-four orations, fifty-one declamations, a substantial body of preliminary rhetorical exercises known as progymnasmata, and over fifteen hundred letters. The orations demonstrate remarkable variety, ranging from formal panegyrics celebrating cities to autobiographical accounts, judicial speeches, and direct political appeals to imperial authorities. His extensive epistolary collection offers an unparalleled view into the intricate social, professional, and intellectual networks of the period.

Operating from Antioch, a major cultural and administrative hub of the Eastern Roman Empire, Libanius wrote as a devoted adherent of traditional Hellenic religion and a master teacher of rhetoric. His works functioned both as pedagogical models for his renowned school of rhetoric and as active engagements with the profound political and religious transformations of his era. Modern scholarship interprets his prolific output as a sustained, sophisticated defense of classical Greek paideia—the system of education and civic values—against the rising cultural and institutional dominance of Christianity. Numerous orations address contemporary events with directness, such as advocating for the interests of Antioch or expressing support for the policies of the pagan emperor Julian.

The texts survive in a notably complete state, a testament to Libanius's enduring reputation as a preeminent stylistic model throughout the Byzantine educational tradition. A complex manuscript tradition has preserved the majority of his orations and declamations. The vast corpus of letters, while immense, is generally considered a curated selection from an originally even larger body of personal and professional correspondence.

Text
----

1	*Epist. 1–839: vol. 10 Κλεάρχῳ.
Ep 19 18	δίκαιον δέ, εἴτε ἡσθείης τοῖς γράμμασι, τῷ φέροντι τὴν χάριν ἔχειν, εἴτε δηχθείης, παρὰ τοῦ φέροντος τὴν δίκην λαβεῖν. ἐγνωκότα γάρ με ἡσυχάζειν πάσαις ἀνάγκαις Ἰανουάριος ἐνήγαγεν, ἀνὴρ πανταχόθεν αἰδέσιμος τῇ πόλει λυπήσας μὲν οὐδὲν οὐδένα ὧν οὐκ ἔδει, δοὺς δὲ χάριτας ἐν αἷς ἡ τοῦ δικαίου μερίς, φρουρήσας μὲν ἱκανῶς ἐφ’ ᾧπερ ἐτέτακτο, τῶν δὲ ἐπειγομένων οἷς ἄξιον συλλαβών, ὀλίγα λαλῶν, πρᾶξαι δεινός, τῶν γιγνομένων καρπῶν ὑπερορῶν τὸ πλέον, προσήκων μὲν μείζοσι, στέργων δὲ τὰ παρόντα, τὴν ἐπιείκειαν ἐν πράγματι τηρήσας οὐκ ἀνεχομένῳ χρηστότητος. ἓν δέδοικα μὴ μέμψῃ τὸν ἄνθρωπον, ὅτι μοι πάντα ὑπούργησεν. Ἀρισταινέτῳ.
Ep 20 1	Ἆρα καὶ τοῦτο τοῖς ἄρχουσι νόμος μὴ τοῖς φίλοις ἐπιστέλλειν, ἐπειδήπερ ἄρχουσιν; εἰ μὲν δὴ κεῖται καὶ γέγραπται, χρῶ τῷ νόμῳ καὶ σίγα· εἰ δ’ οὐδεὶς κωλύει νόμος, πόθεν ἡ σιγή; λέγε. εὑρηκέναι γάρ μοι δοκῶ· μεῖζόν σου γεγένηται τῶν πραγμάτων τὸ πλῆθος καὶ τῶν κοινῶν ἡ φροντὶς οὐκ ἐᾷ τῶν οἰκείων ἐπιμελεῖσθαι. τοῦθ’ ἥδιόν μοι πείθειν ἐμαυτὸν ἢ ὅτι σὺ τῶν φίλων ὑπὸ τῆς ἀρχῆς ἐπελάθου, ὃν ἀκούω μετριώτερον ὑπὸ τῆς ἐξουσίας εἶναι καὶ τούτῳ τοῦ προτέρου διαφέρειν τῷ πλείω πράττειν· ὡς ὅ γε τρόπος 〈ὁ〉 αὐτός, εἰσὶ δὲ οἳ λέγουσιν ὡς καὶ βελτίων.
Ep 20 3	Ἰανουάριος μὲν οὖν ἀπαγγελεῖ σοι περὶ ἡμῶν, ὡς ἀρρωστοῦμεν, εἰ μή σε ἐξαπατᾶν βούλοιτο τοῦ μὴ λυπεῖν· ἀεὶ γάρ τινι προσπαλαίομεν κύματι. καὶ ταύτην τίνομεν τῷ Φιλίῳ τὴν δίκην, ὅτι δή τι φίλων ἡμῖν ἐφάνη τιμιώτερον. ἐγὼ δέ σοι περὶ αὐτοῦ λέγειν ἔχω, ὡς ἐν δυσχερεῖ διοικήσει χρηστὸς ἐδείχθη.
Ep 20 4	καὶ τοῦτον μόνον οἵ τε ταχέως οἵ τε βραδέως ὧν ἔχρῃζον τυχόντες ἐπῄνεσαν τοσαύτην ἀνεμίγνυ γοητείαν ταῖς ἀναβολαῖς. τοιγαροῦν ἀπιὼν ἀνιᾷ τοὺς βελτίους, διότι παρὼν οὐκ ἐλύπησεν. ἐμοὶ δὲ δεομένῳ τοσοῦτον ἀπεῖχεν ἀπειθεῖν ὥστ’ εἰ διαλίποιμι τοῦτο ποιῶν, ὕβριν τὸ πρᾶγμα ἐκάλει καὶ διεμέμφετο.
Ep 20 5	τὰ σὰ δὲ ἀγαθὰ νομίζων αὑτοῦ τε καὶ ἐμὰ ὅ τι μάθοι τρέχων ὡς ἡμᾶς ἐμήνυε τῷ προσώπῳ κηρύττων τὴν ἡδονήν. εἶπον ἂν πλείω πρὸς ἀγνοοῦντα, νῦν δ’ ἐπίστασαι τὸν ἄνδρα. τῷ αὐτῷ.
Ep 21 1	Πρότερον μὲν ἐθαύμαζον τὸν κράτιστον Ἑρμογένην ἀπὸ τῆς φιλοσοφίας ἧς ἤκουον αὐτῷ μέλειν, νῦν δὲ δὴ καὶ φιλῶ τὸν ἄνθρωπον, διότι δὴ πόσου τε καὶ τίνος ἄξιος εἶ γινώσκει. λέγεται γὰρ ἄνδρα τέ σε ἀγαθὸν ἡγεῖσθαι καὶ τὸ συνεῖναι μέγα ποιεῖν καὶ τὸ μὴ συνεῖναι βαρύ. τοῖς μὲν οὖν ἄλλοις ἔπεισι σοὶ συγχαίρειν, ἐμοὶ δὲ ἀμφοῖν· σοὶ μέν, ὅτι σοι πρόσκειται τοσαύτη δύναμις, τῷ δ’, ὅτι φιλῶν ὃν ἐχρῆν εὐδοκιμεῖ τῇ κρίσει.
Ep 21 3	δεῖ δή σε φιλούμενον ὅσα ἂν ἐξῇ ἐν ταῖς παραινέσεσιν ὠφελεῖν ἐκεῖνον μὴ κατοκνεῖν· ἔξεστι δὲ νῦν ὑπὲρ ἀδικουμένου φίλου κωλῦσαι φίλον ἁμαρτάνειν. Νικέντιον γὰρ τὸν καλόν, ὃν σὺ πρὸς ἡμᾶς ἐπῄνεις ἐν γράμμασι, καὶ τὸ γράμμα γε ἐκεῖνο φιλίαν ἡμῖν εἰργάσατο, τοῦτον δὴ τὸν ἄνδρα, δι’ ὃν ἐπιδημεῖ μὲν ἡ δίκη, βία δὲ οἴχεται, πανήγυρις δὲ ἡμῖν ἡ πόλις, εὐφημίας ἐλπίζοντα περιέστηκε ζημία λυποῦσα μὲν καὶ τῇ βλάβῃ, πένης γὰρ ἡμῖν ἐπὶ τοσαύταις ἀρχαῖς ὁ Νικέντιος, ἔχουσα δέ τι πικρότερον τῆς βλάβης τὴν ἀδοξίαν. ἡ γὰρ καταδίκη ζημία τίς ἐστι κατεγνωκυῖα κακίαν. τοῖς μὲν οὖν ἀδικοῦσιν Ἑρμογένης ἐπαγέτω δίκην, ἐγὼ πρῶτος ἐπαινῶ τὴν ὀργήν, κἂν παύσηται τῆς ἐπὶ τοῖς τοιούτοις ὀργῆς, καὶ ἐγὼ τῶν ἐπαίνων, τὸ νῦν δὲ τοῦτο παραγωγή τίς ἐστι καὶ ἔργον ἀπάτης, οὐ τῆς Ἑρμογένους φύσεως.
Ep 21 5	ἄκουε δέ· σταθμός τίς ἐστι περὶ τὸν Εὐφράτην, Καλλίνικος ὄνομα αὐτῷ· Καλλινίκου γὰρ ἐνταῦθα ἀποσφαγέντος ὁ σοφιστὴς γίνεται προσηγορία τῷ τόπῳ, οἷα πολλὰ μὲν ἐν γῇ, πολλὰ δὲ ἐν θαλάττῃ πάλαι. τοῦτο δὴ τὸ χωρίον ἔχει στρατιὰν ἱδρυμένην, ἣν δεῖ τρέφεσθαι παρ’ ἡμῶν οὐκ ἐκεῖσε κομιζόντων, ἀλλ’ ἑτέρωσε τὴν τροφήν, ἐκεῖθεν δὲ εἰς Καλλίνικον ἄγειν νόμος τὸν ἄρχοντα τῶν περὶ τὸν Εὐφράτην.
Ep 21 6	Νικέντιος δὲ τὰ αὑτοῦ διακονήσας ὧν ἐπλημμέλησαν ἕτεροι δίκας δίδωσι, τοῦτο δὴ τὸ ἐν Αὐλίδι. ἴσως μὲν οὖν οὐδ’ αὐτὸς διηγησάμην κακῶς, εἰ δ’ οὖν τι καὶ ἐξηνέχθην, Νικέντιός σε διδάξει καλῶς.
Ep 21 7	σὺ δὲ βοήθησον δυοῖν ἄρχουσι τὸν μὲν ἐξελόμενος βλάβης ἀδίκου, τὸν ἐλάττω, τὸν δ’ ἀποστήσας ὀργῆς οὐ δικαίας, τὸν κρείττω. εἰ δὲ παιδὸς ἡγεῖται τὴν μεταβολήν, τὴν μὲν ἐπὶ 〈τὰ〉 χείρω νομιζέτω φαύλην, τὴν δὲ τῶν φαύλων τι λύουσαν ἀγαθήν, ἄλλως θ’ ὅτε τὸ μὲν τίμημα τηρεῖν ἂν ἔχοι, τὸν δ’ ἔξω τῆς αἰτίας ἀφιέναι.
Ep 21 9	τὸ γὰρ χρυσίον εἰσπραττέτω μέν, εἰσπραττέτω δὲ παρὰ τῶν λελοιπότων τὴν τάξιν καὶ προσέτι γε τῶν ἐξηπατηκότων, οἳ σφίσιν αὐτοῖς χαριζόμενοι τὰ οὐκ ὄντα ἔφρασαν. ἐπειδὴ γὰρ θυμὸς μέγας διοτρεφέων ὑπάρχων, μὴ ἔστω τοῖς φενακίζουσιν ἄδεια, ὅπως τῆς ἀληθείας κρατούσης μηδεὶς ἀδίκως κολάζηται.
Ep 21 10	λύων δὲ τὴν αὑτοῦ ψῆφον ἐννοείτω τὸν βασιλέα Κρητῶν τὸν παῖδα Διός, ὃς εἰς τὸ ἄντρον δι’ ἐνάτου πορευόμενος ἔτους ὧν ἐτεθείκει νόμων οὐκ ᾐσχύνετο κινῶν ὃν κρεῖττον ἦν κινεῖσθαι. Αὐξεντίῳ.
Ep 22 1	Ἐγώ σου μέλλων αἰτιᾶσθαι τὸ χαίρειν ἀγροῖς καὶ νομίζων οὐκ εἶναί σοι λόγον, ὃς δείξει τὸν ἐκεῖσε δρόμον εὔλογον, ἐπειδὴ τὴν ὀπώραν ἔλαβον καὶ εἶδον, οἷα παρὰ σοὶ τίκτει τὰ δένδρα, θαυμάζω μεταβαλών, ὅτι δὴ τοιαύτης γῆς καὶ μικρὸν ἀπανίστασαι χρόνον. ἴσως που τοιοῦτος ἦν ὁ κῆπος ὁ δόξας μῆλα δεδωκέναι χρυσᾶ, ἃ χρυσᾶ μὲν οὐκ ἦν, οὐ γὰρ οὗτος φυτῶν νόμος, διὰ δὲ κάλλος ἐκτήσατο τὴν ἀπὸ τοῦ χρυσοῦ φήμην.
Ep 22 2	ἀλλὰ καὶ τοιαύτης οὔσης σοι τῆς ὀπώρας κατὰ τὴν ὥραν ἐκράτει τὰ γράμματα· τοσοῦτον ἄνθους μετεῖχε. θεράπευε δὴ θεοὺς ἐφόρους γεωργίας.
Ep 22 3	δεῖ δέ σε οὐ πονεῖσθαι τοῖς ἀναθήμασι. μὴ γὰρ δὴ ἔστω τούτων ὧν ἐργάζεται χρυσοχόων τέχνη, ἀλλ’ ἀφ’ ὧν ἔδοσαν τιμάσθων. εὖ οἶδα γάρ, ὡς ἥδιον αὐτοῖς χρυσίδων βότρυες ἐξημμένοι τῶν ἀγαλμάτων. Δημητρίῳ.
Ep 23 1	Οὐδ’ αὐτὸς ὁ νέος ἄνευ λογισμοῦ παρ’ ἡμᾶς ἧκεν, ἀλλ’ εἰδὼς τὸν αὑτοῦ θεῖον ἐμέ τε φιλοῦντα καὶ ὑπ’ ἐμοῦ τιμώμενον· ἥκων δὲ εὗρεν ἅπερ ἤλπισεν. εἰ μέντοι καὶ λόγων ἰσχύν, οὐκ οἶδα, τὴν δ’ οὖν εὔνοιαν τοσαύτην ὅσην ἄν, εἰ σὺ τοὐμὸν ἔπραττες, ἔνειμας αὐτῷ φανέντι. λόγων μὲν οὖν ἔχεται πάλαι μὲν αὐτῶν ἧφθαι δοκῶν, νῦν δὲ ὡς ἀληθῶς ἁπτόμενος, ζῇ δὲ ἐν πενίᾳ καὶ οὐκ ἐν οἷς εἰκὸς εἶναι τὸν ὑμέτερον συγγενῆ.
Ep 23 2	εἰ μὲν οὖν ἐσπανίζετε χρημάτων, ἐμὸν ἂν ἦν βοηθεῖν· ἐπεὶ δὲ καλῶς ποιοῦντες πλουτεῖτε μέν, οἴεσθε δὲ τὴν ἔνδειαν συλλαμβάνειν νέοις εἰς λόγους, παραινέσαιμ’ ἂν ὑμῖν ἢ πέμπειν αὐτοὺς χρυσίον ἢ ἡμῖν ἐφεῖναι συμμαχεῖν· ὡς οὐ μόνον τρυφὴ κώλυμα λόγοις, ἀλλὰ καὶ τὸ λιμῷ συνοικεῖν. Γενεσίῳ.
Ep 24 1	Πῶς δ’ οὐκ ἔμελλον ἡδέως ὄψεσθαι νέον μητρός τε ἀγαθῆς υἱὸν καὶ ἀδελφιδοῦν ἀνδρὸς πόλεών τε σωτῆρος καὶ ἡμῖν ἐπιτηδείου φυγήν τε καλὴν καὶ παρ’ ὑμῶν πεφευγότα καὶ ἣν μόνην ἐπαινεῖν ἀνάγκη; τὸ γὰρ ἐπὶ κτήσει λόγων ἀφεῖναι πατρίδα καὶ αὐτῇ τῇ πατρίδι καλόν, ἣν ἀπὸ τῶν λόγων ὁ φυγὰς ἕξει μεγάλην ποιεῖν. ἀλλ’ ὥσπερ ἡμᾶς ἐπαινεῖς τῆς προνοίας ἧς εὗρεν ὁ δεῦρο ἥκων, οὕτω πεῖθε τὴν μητέρα λύειν αὐτῷ τὴν ἀπορίαν.
Ep 24 2	οὐ γὰρ ἕξετε πικρῶς ἀπαιτῆσαι τὰς εὐθύνας, εἰ τὰ παρ’ ὑμῶν ἐλλείποι. Ὑγιεινῷ.
Ep 25 1	Οὐκ ἠμνημόνησα τῶν συνθηκῶν αἳ ἦσαν ἡμῖν περὶ γραμμάτων, ἀλλ’ ἐκωλύθην τὰς συνθήκας ἐμπεδῶσαι κακοῖς μυρίοις. πρῶτον μὲν γὰρ ἡ κεφαλή με καταβαλοῦσα εἶχεν αὐτὴ δεξαμένη πλῆθος ἰλίγγων καὶ οὐκ ἦν οὔθ’ ἡμῖν οὔτε τοῖς ἰατροῖς θαρρεῖν.
Ep 25 2	εἶτ’ ἐκεῖθεν ἐπὶ τὴν κοιλίαν τὸ δεινὸν καταβὰν ῥεύματα ἐμιμεῖτο ῥυάκων, τὸ δὲ ἐπισχῆσον οὐκ ἐφαίνετο. καὶ τούτοις τοιούτοις οὖσι προσετέθη Λήμνιά φασι κακά, μᾶλλον δέ, μικρόν τι εἶπον τὸ πτῶμα Νικομηδείας δηλῶσαι βουληθεὶς τοῖς ἐν Λήμνῳ κακοῖς. διὰ τοιούτων τὸ θέρος ἐλθόντες νῦν φαρμάκου πόσει τὸ σῶμα κουφίσαντες ἐπιστέλλομέν σοι τῆς μὲν σιγῆς τὰς αἰτίας ἀποδιδόντες, κινεῖν δέ σε πρὸς τὰ ἡμέτερα τόν γε οἴκοθεν ὡρμημένον οὐκ ἀξιοῦντες, ὡς ὅστις τινὰ παρακλήσεσιν ἐπεγείρει, κατεγνωκὼς ἀργίαν τοῦτο ποιεῖ.
Ep 25 4	σὺ δ’ οὐχ ὅπως αὐτὸς ῥᾳθυμεῖς, ἀλλὰ καὶ ἄλλον ἂν ἐξοτρύναις εἶναι πρόθυμον εἰς ἡμᾶς, ἴσως μέν τι καὶ ἐν ἡμῖν ἄξιον εὐνοίας εὑρών, πλέον γε μὴν ἐκεῖνο σκοπῶν, ὅπως δόξεις ἀκολουθεῖν τῷ πατρί. καὶ γὰρ ἐκεῖνος ἑώρα τέ με ὡς ἥδιστα καὶ μετεδίδου λόγων τε καὶ βιβλίων.
Ep 25 5	καὶ ὁ δοὺς ἀρχὴν ἡμῖν εἰς τὴν ἀμείνω δόξαν ἐκεῖνος ἦν. καὶ νῦν, εἴπερ ἦν, εἷς ἄν μοι πολλῶν ἦν ἀντάξιος. ἃ σὺ λογιζόμενος ἐπιχειρεῖς μοι δεικνύειν ὡς, εἰ καὶ Δουλκίτιος τέθνηκεν, ἀλλ’ οὐχ ἥ γε πρὸς ἐμὲ σπουδὴ τῆς ὑμετέρας τέθνηκεν οἰκίας.
Ep 25 7	ταύτην μὲν οὖν ζῶσαν ἀεὶ παρέξεις, τοὺς δὲ ἀνεψιοὺς ἴσθι σοι τῇ μὲν ἄλλῃ καὶ σφόδρα ἐπαινεῖσθαι, λυπῆσαι δὲ ἑνὶ τούτῳ τοὺς γείτονας. μεγάλῃ γὰρ ἀεὶ φωνῇ τοὺς λόγους συλλέγοντες τὸν ὕπνον ἀφαιρούμενοι τῶν πλησίον οἰκούντων τοὺς μὲν ἐξήλασαν, τοὺς δὲ ἐπέτριψαν. Ἀκακίῳ.
Ep 26 1	Καὶ αὐτός εἰμι τῶν βεβαπτισμένων ὑπὸ τοῦ μεγάλου κύματος ἐκείνου. κεῖται γὰρ Ἀρισταίνετος, ὦ Ζεῦ, ἡ δὲ δευτέρα πληγὴ προσδιέφθειρεν ἡμᾶς οὐδὲ τῆς Ἱεροκλέους κεφαλῆς φεισαμένου τοῦ δαίμονος. διὰ ταῦτα σεσιγήκαμέν τε καὶ σιγήσομεν, ὅσα γε ἐν ὁμίλῳ κοινῷ. ὡς οἵ γε φοιτῶντες χρῶνται ἡμῖν οὐ χείροσιν ἢ πρόσθεν. ἥσθην δὲ τῷ τε υἱεῖ καὶ τῷ κηδεστῇ προθύμως εὖ μάλα λόγων ἡμμένοις καὶ κινοῦσι τὸν παιδευτὴν οὐ παρακαλουμένοις, ὥστε καὶ σοὶ γράφοντι πρὸς αὐτὼ τὴν ἐκείνου τοῦ ἔπους ἀρχὴν ἀρκεῖν ἥ φησιν· οὕτω νῦ ν , φίλα τέκν α.
Ep 26 2	πιστεύω δὲ καὶ Φιλόξενον ἄξια τῆς συγγενείας δράσειν. Μακεδονίῳ.
Ep 27 1	Οὐκ ἐπὶ μικρῷ γε πεποίησαι τὴν ὁδόν, ἀλλ’ ὑπὲρ ἀνδρός, ὃν ὅπως ἴδοις, ἐπ’ αὐτὸν ἐλθεῖν ὠκεανὸν ἦν ἄν σοι καλόν. ὅτι δὲ ἔμελλες πανταχοῦ ἡμῶν μεμνήσεσθαι καὶ σὺν ἐπαίνοις, οὐκ ἠγνόουν· τοῖς μὲν γὰρ ἄλλοις ἥδιστον εὐφημιῶν τυγχάνειν, σοὶ δὲ εἰς ἐμὲ χρῆσθαι. τοὺς δὲ ἄνδρας, οἷς διειλέχθαι λέγεις, πρὶν ἂν πείσῃς μισεῖν τοὺς κόλακας, οὐδέποτε πείσεις ἡμᾶς φιλεῖν· πάνυ γὰρ ἀμαθῶς ἔχω τοῦ πράγματος, ἕτεροι δὲ ἀριστεύουσι.
Ep 27 3	Παγκράτιον δὲ οὔπω μὲν εἶδον, ἀγαθὸν δὲ ἡγοῦμαι καὶ γράψαι πρότερον ἀξιῶ· τῷ μὲν γὰρ οὐδὲν αἰσχρόν, ἐμοὶ δὲ ἴσως, εἰ δόξαιμι δι’ ἐπιστολῆς ἐπὶ προφάσει τοῦ προσειπεῖν μαθητὰς αἰτεῖν. Πολυχρονίῳ.
Ep 28 1	Τί τῆς σιγῆς ἔχεις αἰτιᾶσθαι; βραδυτῆτα νοῦ; καὶ τίς ὀξύτερος; ἀλλ’ ἔνδειαν λέξεως; ὁ σαφῶς οὕτω περὶ τῶν μεγάλων διδάσκων; πόθεν οὖν ἄφωνος; οὐ λέγεις οὐκοῦν ἀκούσῃ. τῶν τροφῶν ἡμῖν περικόψας αἰσχύνῃ καὶ διαζεύξας τῶν πυρῶν τὰς κριθὰς τοὺς ἵππους ἠδικηκὼς οὐκ ἔχεις ὅ τι εἴπῃς. ἀλλά σοι λύω τὸν φόβον τὸ τοῦ Ἀχιλλέως εἰπών· οὐ σὺ τοῦτο λυπεῖ ς , ἀλ λ ’ Ἀγαμέμνω ν.
Ep 28 2	ὥστε θαρρῶν ἴθι καὶ γράφε. Παρνασίῳ.
Ep 29 1	Οὐκ ἀγεννῶς μοι προσκεῖσθαι τοῖς λόγοις, καταμηνύεις δὲ σὺ σαυτὸν ἀπὸ τοιαύτης ὥρας συντιθεὶς ἐπιστολάς .... Δημητρίῳ.
Ep 30 1	Ἔδει γὰρ καὶ τοιαύτῃ τιμηθῆναι τιμῇ παρά τε σοῦ τὸν ἀδελφὸν παρά τε ἐμοῦ τὸν φίλον. δυσχερῆ δέ σοι γενέσθαι τὸν ἐπ’ ἐκείνῳ χρόνον οὐ θαῦμα· καὶ γὰρ καὶ τὰ μὴ λίαν ἀλγεινὰ τοῖς ὧδε ἔχουσι χαλεπά. νῦν οὖν ἐπειδὴ τῆς δρυὸς ἀφέμενος ἔχῃ τῶν πυρῶν, οὕτω γὰρ καὶ αὐτὸς ἀπεικάζεις, ἕψομαι τὸ μὲν μιμούμενος, ἐν δὲ τῷ νικώμενος.
Ep 30 2	ἡκόντων γὰρ ἐκεῖθεν γραμμάτων καὶ μέλιτος γράφων μὲν ἴσον τι ποιῶ τοῖς γράμμασιν, ὅ τι δ’ ἂν ἀντὶ τοῦ δώρου γένοιτό σοι ζητῶν οὐχ εὗρον πλὴν ὅσον ἐπαινέσαι τὸ δῶρον. οὐ γὰρ ὄνομα ἄλλως τὸ Ἀττικόν, ἀλλ’ ἀτεχνῶς ἀπὸ τῶν ἐν Ὑμηττῷ πόνων οὓς ἐν τῷ ὄρει πονοῦσιν αἱ μέλιτται. τοιοῦτον δὲ ὂν ὅμως ἡττᾶτο τῆς ἡδονῆς ἧς ἡμᾶς ἐν οἷς ἐπέστελλες ἔγευσας. .
Ep 31 t	..... ἐπειδὴ παρὰ τὴν ἀρχὴν ἐγένου τοῖς Γαλάταις ὁ Ῥαδάμανθυς, καὶ πεπαυμένῳ τῆς ἀρχῆς μέλει σοι Γαλατῶν.
Ep 31 1	ὅθεν οἱ μὲν δεῦρο βαδίζοντες παρὰ σοὶ καταλύουσι, σὺ δὲ δι’ ὅσων ἔξεστιν εὖ ποιεῖς. εἰ δὲ μὴ οὕτως εἶχε πρᾶγμα, μισεῖν τε ἦν ἀνάγκη καὶ μισεῖσθαι. τὸ δὲ πέμποντα παῖδας ἑτέρων τοὺς σαυτοῦ μέλλειν, οὕτω γὰρ ἄμεινον λέγειν, τῷ μὴ δεδυνῆσθαι λογίζομαι· ὡς ἥ γε γνώμη καὶ σφόδρα ἐπιθυμοῦντος.
