Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
1 1 5	καὶ εἰς τὸ τοξεύειν συντόμως ἐπάνω ἵππου τρέχοντος μίαν ἢ δευτέραν σαγίτταν καὶ ἀποτίθεσθαι τὸ τόξον τεταμένον ἐν τῷ ἰδίῳ θηκίῳ, ἐὰν πλατύ ἐστιν, ἢ ἐν ἄλλῳ ἡμιθηκίῳ ἐπὶ τούτῳ γινομένῳ καὶ ἐπιλαμβάνεσθαι τοῦ κονταρίου ἐκ τοῦ νώτου ἀναβασταζομένου. εἰς τὸ ἔχειν μὲν τὸ τόξον τεταμένον ἐν τῷ θηκίῳ, κρατεῖν δὲ τὸ κοντάριον καὶ συντόμως ἀποτίθεσθαι αὐτὸ ἐν τῷ νώτῳ, ἐπιλαμβάνεσθαι δὲ τοῦ τόξου.
1 1 6	Ταῦτα δὲ καλόν ἐστι καὶ ἐν τῷ ὁδοιπορεῖν τοὺς στρατιώτας ἐν τῇ ἰδίᾳ χώρᾳ ἐπιτηδεύειν ἐπάνω τῶν ἵππων ποιεῖν· ἐκ τούτου γὰρ καὶ ἡ ὁδὸς ἀνεμποδίστως διανύεται καὶ οἱ ἵπποι οὐ συντρίβονται. Πῶς δεῖ ὁπλίζεσθαι τὸν καβαλλάριον στρατιώτην καὶ ποῖα κατὰ τὸ ἀναγκαῖον εἴδη κτᾶσθαι; Τῆς γυμνασίας, τῆς καθ’ ἕνα ἄνδρα, δεόντως γινομένης δεῖ ὁπλισθῆναι τοὺς στρατιῶτας διὰ τῶν ἰδικῶν αὐτῶν ἀρχόντων καὶ τὰ ἐπιτήδεια δὲ ἐν τῷ καιρῷ τοῦ παραχειμαδίου παρασκευάζεσθαι, τὰ πρὸς τὰς ἀναγκαίας χρείας τῆς ἐκστρατείας· καὶ ἔχειν ταῦτα πάντας μὲν ἀναλόγως πρός τε τὴν ἑκάστου ποιότητα καὶ τὰς χορηγουμένας αὐτοῖς χρυσικὰς συνηθείας, μάλιστα δὲ τοὺς τῶν μερῶν καὶ μοιρῶν καὶ ταγμάτων ἄρχοντας, ἑκατοντάρχας, δεκάρχας καὶ πεντάρχας καὶ τετράρχας, βουκελλαρίους καὶ φοιδεράτους· ζάβας σὺν σκαπλίοις τελείας μέχρι τοῦ ἀστραγάλου, ἀνασυρομένας λωρίοις καὶ κρικελλίοις μετὰ τῶν θηκαρίων αὐτῶν, κασσίδας ἐχούσας ἄνωθεν τουφία μικρά, τοξάρια κατὰ τὴν ἑκάστου ἰσχὺν καὶ οὐχ ὑπὲρ αὐτήν, μᾶλλον δὲ καὶ ἁπαλώτερα, ἔχοντα θηκάρια πλατέα, ἵνα ἐν καιρῷ δυνατόν ἐστι τεταμένα χωρεῖν τὰ τόξα ἐν αὐτοῖς, κόρδας ἐκ περισσοῦ ἐν τοῖς πουγγίοις αὐτῶν, κούκουρα μετὰ σαγιττῶν καὶ σκεπασμάτων αὐτῶν ἐπιτήδεια χωροῦντα ἀπὸ τριάκοντα ἢ τεσσαράκοντα σαγιττῶν, ἐν τοῖς τοξοζωνίοις ῥινία καὶ σουβλία, κοντάρια καβαλλαρικὰ ἔχοντα λωρία κατὰ τοῦ μέσου, πρὸς τὸ σχῆμα τῶν Ἀβάρων, μετὰ φλαμούλων, σπαθία, περιτραχήλια στρογγύλα, κατὰ τὸ τῶν Ἀβάρων σχῆμα, ἐν τάξει κροσσίων λινῶν ἔξωθεν καὶ ἔσωθεν ἐρεῶν· τοὺς δὲ μὴ εἰδότας νεανίσκους ἐθνικοὺς τοξεῦσαι κοντάρια μετὰ σκουταρίων.
1 2 3	Οὐκ ἄτοπον δὲ καὶ χειρομάνικα σιδηρᾶ τοὺς βουκελλαρίους ἐπινοῆσαι καὶ μικρὰ τουφία κατὰ τῶν ὀπισθελινῶν καὶ ἀντελινῶν τῶν ἵππων καὶ φλάμουλα μικρὰ ἐπάνω τῶν ζαβῶν κατὰ τῶν ὤμων. Ὅσον γὰρ εὔσχημος ἐν τῇ ὁπλίσει ὁ στρατιώτης ἐστίν, τοσοῦτον καὶ αὐτῷ προθυμία προσγίνεται καὶ τοῖς ἐχθροῖς δειλία. Χρὴ πάντας τοὺς νεωτέρους Ῥωμαίους δίχα τῶν ἐθνικῶν τοὺς μέχρι τεσσαράκοντα ἐτῶν ἀναγκάζεσθαι, εἴτε κατὰ λόγον οἴδασι τοξεῦσαι, εἴτε μετρίως, τοῦ πάντως τοξοφάρετρα φορεῖν.
1 2 5	κεκτῆσθαι δὲ καὶ κοντάρια, ἵνα τοῦ ἑνὸς ὡς εἰκὸς ἀστοχοῦντος ἔχει τὸ ἄλλο εἰς χρῆσιν. τοὺς δὲ ἀπειροτέρους ἀπαλωτέροις χρήσασθαι τοξαρίοις· κἂν γὰρ οὐκ οἴδασι τοξεύειν, τῷ χρόνῳ ἐπιτηδέουσι μαθεῖν, ὅπερ τῶν ἀναγκαίων ἐστίν. Χρὴ τοὺς ἵππους καὶ μάλιστα τῶν ἀρχόντων καὶ τῶν λοιπῶν ἐπιλέκτων προμετωπίδια ἔχειν σιδηρᾶ κατὰ τῶν μετώπων τῶν ἵππων καὶ στηθιστήρια σιδηρᾶ ἢ ἀπὸ κεντούκλων ἢ κατὰ τὸ σχῆμα τῶν Ἀβάρων σκέπεσθαι τὰ στήθη καὶ τοὺς τραχήλους αὐτῶν καὶ μάλιστα τῶν προτασσομένων ἐν τῇ μάχῃ.
1 2 7	Χρὴ τὰς σέλλας ἔχειν ἐπισέλλια δασέα καὶ μεγάλα, καὶ τὰ χαλινάρια αὐτῶν ἐπιτήδεια εἶναι. Ἔχειν δὲ εἰς τὰς σέλλας σκάλας σιδηρᾶς δύο, λωρόσοκκον, πέδικλον, σελλοπούγγιν, ἐν ᾧ καιροῦ καλοῦντος δυνατόν ἐστι κἂν τριῶν ἡμερῶν ἢ τεσσάρων τοῦ στρατιώτου δαπάνην χωρῆσαι· τουφία εἰς τὰς ὀπισθελίνας τέσσαρα, κορυφάδιν καὶ ὑπὸ γένειον τουφίν. Χρὴ τὰ ἱμάτια αὐτῶν πλατέα καὶ τέλεια εἶναι, κατὰ τὸ σχῆμα τῶν Ἀβάρων κεκομμένα, τουτέστι ζωστάρια, εἴτε λινᾶ εἰσιν, εἴτε αἴγεια, εἴτε ῥάσα, ἐφ’ ᾧ καβαλλικευόντων αὐτῶν σκέπεσθαι δι’ αὐτῶν τὰ γόνατα καὶ εὐσχήμους αὐτοὺς φαίνεσθαι.
1 2 9	Χρὴ φορεῖν γουννία ἤγουν νευρίκια ἀπὸ κεντούκλων πλατέα πάνυ, ἔχοντα μανίκια φαρδᾶ, ἐπινοῆσαι αὐτούς, ἵνα ἐν τῷ ὁπλισθῆναι αὐτοὺς καὶ φορεῖν τὰς ζάβας καὶ τὰ τοξάρια, ἐὰν ὡς εἰκὸς συμβῇ βροχὴν γίνεσθαι ἢ ὑγρότερον ἐκ τῆς δρόσου τὸν ἀέρα, φοροῦντες ταῦτα ἐπάνω τῶν ζαβῶν καὶ τῶν τοξαρίων φυλάττωσι τὸ ἄρμα αὐτῶν καὶ οὐκ ἐμποδίζωνται, εἴτε τοῖς τόξοις, εἴτε τοῖς κονταρίοις αὐτῶν βουληθῶσι χρήσασθαι. ἔστι δὲ καὶ ἄλλως πῶς ἀναγκαῖα ἐν ταῖς σκούλκαις· οὐ διαφαίνονται γὰρ μήκοθεν τοῖς πολεμίοις αἱ ζάβαι ὑπ’ αὐτῶν σκεπόμεναι, ἀντέχουσι δὲ καὶ πρὸς τὰς βολὰς τῶν σαγιττῶν. Χρὴ τένδαν κατὰ κοντουβέρνιν καὶ δρέπανα καὶ ἀξίνας ἔχειν αὐτοὺς διὰ τὸ ἀναγκαῖον τῆς χρείας· καλὸν δέ ἐστι τὰς τένδας κατὰ τὸ σχῆμα τῶν Ἀβάρων γίνεσθαι, ὅτι καὶ κομπαὶ καὶ χρειώδεις εἰσίν.
1 2 11	Χρὴ ἀναγκάζεσθαι τοὺς στρατιώτας καὶ μάλιστα τοὺς τὰ φαμιλιαρικὰ λαμβάνοντας πάντως παῖδας ἑαυτοῖς ἐπινοεῖν ἢ δούλους ἢ ἐλευθέρους κατὰ τὴν γενομένην διατύπωσιν, καὶ ἐπιμελῶς ἐν τῷ καιρῷ τῆς χρυσικῆς ῥόγας, ὥσπερ τοὺς στρατιώτας, οὕτω καὶ τοὺς παῖδας αὐτῶν καὶ τὸ ἄρμα ἀπογράφεσθαι καὶ καταζητεῖσθαι εἰς τὸ εἰδέναι αὐτοὺς ὑπὲρ ποίων τίτλων ταύτην λαμβάνουσιν, ἵνα μὴ περιφρονοῦντες καὶ ἀποροῦντες παίδων ἐν καιρῷ πολέμου ἀναγκάζωνται ἐξ αὐτῶν τῶν στρατιωτῶν ἀφορίζεσθαι εἰς τὸ τοῦλδον καὶ ὀλιγοῦνται οἱ κάμνοντες ἐν τῇ μάχῃ· εἰ δέ τινες ὡς εἰκὸς μὴ εὐποροῦσι κτήσασθαι παῖδας, ἀναγκαῖόν ἐστιν ἀπὸ διαγράφου εἰς τοὺς κατωτέρους στρατιώτας τρεῖς ἢ τέσσαρας ἄνδρας ἕνα παῖδα ἐπινοεῖν· τὸν ὅμοιον δὲ τρόπον ποιεῖν καὶ εἰς τὰ σαγμάρια, ὧν χρεία κατὰ τὸ ἀναγκαῖον διὰ τὰς ζάβας καὶ τὰς τένδας αὐτῶν. Χρὴ τὰς μὲν κεφαλὰς τῶν βάνδων ἑκάστου μέρους ὁμοχρόους γίνεσθαι, τὰ δὲ φλάμουλα ἑκάστης μοίρας ἰδιόχροα εἶναι, ἵνα τὸ καθ’ ἕκαστον τάγμα εὐκόλως ἐπιγινώσκῃ τὸ ἴδιον βάνδον.
1 2 13	Δεῖ ἕτερα ἰδικὰ σημεῖα προστιθέναι ταῖς κεφαλαῖς τῶν βάνδων, ἐγνωσμένα τοῖς στρατιώταις, ὥστε ἐκ τούτου εὐκόλως ἐπιγινώσκεσθαι αὐτὰ καὶ κατὰ τὸ μέρος καὶ κατὰ τὴν μοῖραν καὶ κατὰ τὸ τάγμα. Πάντως δὲ τὰ τῶν μεραρχῶν βάνδα ἐνηλλαγμένα δέον εἶναι καὶ πρόδηλα, ἵνα ἐκ πολλοῦ διαστήματος ἐπιγινώσκωνται τοῖς ὑπ’ αὐτοῖς τεταγμένοις.
1 2 15	Χρὴ ἐκ περισσοῦ ἐπιφέρεσθαι τὸν στρατηγὸν ἄρμα διὰ βασταγῆς καὶ μάλιστα τοξάρια καὶ σαγίττας, ἵνα τοῖς ὡς εἰκὸς ἀστοχοῦσιν ὅπλοις ἐξ αὐτῶν ἀντεισάγηται. Χρὴ τοὺς ἄρχοντας τῶν ταγμάτων γνώσεις ποιεῖν ἐν τῷ καιρῷ τοῦ παραχειμαδίου, ἐὰν μὴ εὐπορῶσι κατὰ τὴν χώραν ἀγοράσαι τὰ ἐπιτήδεια, καὶ διὰ τῶν μεραρχῶν δηλοῦν, πόσων ἵππων καὶ ποίου εἴδους καὶ ἄρματος δέονται οἱ ὑπ’ αὐτοὺς τεταγμένοι στρατιῶται, ἵνα παρασκευάζῃ ὁ στρατηγὸς ἐν τῷ δέοντι καιρῷ ταῦτα εὐτρεπίζεσθαι πρὸς ἀγορασίαν τοῖς στρατιώταις.
1 2 17	Χρὴ ἔξωθεν τῶν βοείων θηκαρίων τῶν ζαβῶν ἕτερα θηκάρια ἀπὸ βέτζας ἐλαφρᾶς ἔχειν, ἵνα ἐν τῷ καιρῷ τοῦ πολέμου καὶ ἐν καιρῷ κούρσων ὄπιθεν τῶν ὀπισθοκουρβίων κατὰ τὰς ψύας τῶν ἵππων βαστάζωνται. Καί, ἐὰν συμβῇ τροπῆς ὡς εἰκὸς γινομένης πρὸς μίαν ἡμέραν ἀφανεῖς γενέσθαι τοὺς τὰ ἀδέστρατα βαστάζοντας, μή εἰσι γυμναὶ αἱ ζάβαι καὶ φθείρονται, εἶτα δὲ σκέπουσι καὶ τοὺς στρατιώτας διηνεκῶς ἐπικείμεναι αὐτοῖς. Περὶ διαφόρων ὀνομάτων τῶν τε ἀρχόντων καὶ τῶν στρατιωτῶν.
1 3 1	Ἐπειδὴ τὰ περὶ τῆς γυμνασίας τῶν καθ’ ἕκαστον στρατιωτῶν καὶ τῆς ὁπλίσεως αὐτῶν διελάβομεν, ἀναγκαῖον ἡγούμεθα καὶ τὰς σημασίας τῶν ὀνομάτων τῶν ἀρχόντων καὶ ταγμάτων καὶ ἄλλων στρατιωτῶν πρὸς τὴν πᾶσαν τῶν τακτικῶν πραγματείαν φερομένων ἐκθέσθαι πρὸς ἐντελεστέραν τῶν ἐντυγχανόντων εἴδησιν, ὥστε μὴ τοὺς πρώτους ἐντυγχάνοντας τῶν τοιούτων ὀνομάτων ἀκούοντας διαπορεῖν ὡς εἰκὸς πρὸς τὰ ἐξ αὐτῶν δηλούμενα. Στρατηγὸς τοίνυν προσαγορεύεται ὁ τοῦ παντὸς στρατοῦ κορυφαῖός τε καὶ ἡγεμών, ὑποστράτηγος δὲ ὁ τὴν δευτέραν τούτου τάξιν ἐκπληρῶν.
1 3 4	Ὁ δέ γε μεράρχης ἐστὶν ὁ τοῦ μέρους τὴν ἀρχὴν ἐμπεπιστευμένος, μοιράρχης δὲ ὁ τῆς μοίρας ἄρχων, ὁ λεγόμενος δούξ.
1 3 6	Καὶ μέρος ἐστὶ τὸ ἐκ τριῶν μοιρῶν συγκείμενον ἄθροισμα ἤγουν δροῦγγος, μοῖρα δὲ τὸ ἐκ ταγμάτων ἤτοι ἀριθμῶν ἢ βάνδων συγκείμενον πλῆθος.
1 3 8	Κόμης δέ ἐστιν ἤτοι τριβοῦνος ὁ τοῦ τάγματος ἢ ἀριθμοῦ ἢ βάνδου ἡγούμενος. Ἰλάρχης δὲ προσαγορεύεται ὁ πρῶτος μὲν τῶν ἑκατονταρχῶν, δευτερεύων δὲ τῷ κόμητι ἤτοι τριβούνῳ, ἑκατοντάρχης δὲ ὁ ἑκατὸν ἀνδρῶν ἄρχων, ὥσπερ καὶ δεκάρχης ὁ τῶν δέκα πρῶτος, καὶ πεντάρχης ὁ πρῶτος τῶν πέντε.
1 3 11	Τετράρχης δὲ ὁ καὶ φύλαξ ἐστίν, ὁ λεγόμενος οὐραγὸς καὶ τελευταῖος τῆς ἀκίας. Βανδοφόρος δὲ ὁ τὸ σημεῖον τοῦ βάνδου βαστάζων.
1 3 13	Ὁ δὲ τὴν κάππαν βαστάζων ὁ δευτερεύων ἐστὶ τῶν βανδοφόρων. Καὶ ἀρμάτος προσαγορεύεται ὁ σύμμαχος τοῦ ὀπτιμάτου ἤτοι ὁ αὐτοῦ ὑπερασπιστής.
1 3 15	Κούρσορες δὲ λέγονται οἱ προτρέχοντες τῆς παρατάξεως καὶ τοῖς φεύγουσιν ἐχθροῖς ὀξέως ἐπιτιθέμενοι, δηφένσορες δὲ οἱ τούτοις μὲν ἐπακολουθοῦντες, μὴ ἐκτρέχοντες δὲ καὶ λύοντες τὴν τάξιν, ἀλλὰ συντεταγμένως περιπατοῦντες πρὸς ἐκδίκησιν τῶν κουρσόρων, εἴπερ αὐτοὺς ὡς εἰκὸς τραπῆναι συμβαίνῃ.
1 3 17	Δηποτάτοι δὲ προσαγορεύονται οἱ παρακολουθοῦντες τῇ τάξει καὶ τοὺς ἐν τῇ μάχῃ τραυματίας γενομένους ἀνακομίζοντές τε καὶ περιποιούμενοι. Ἀντικένσορες δὲ λέγονται οἱ προλαμβάνοντες ἐν ταῖς ὁδοιπορίαις καὶ τὰς ἐπιτηδείας ὁδοὺς καὶ τοὺς τόπους τοὺς πρὸς τὴν τῶν ἀπλήκτων ποίησιν ἀνερευνῶντές τε καὶ κατανοοῦντες, μήνσορες δὲ οἱ τὰ ἄπληκτα ἤτοι φοσσάτα μετροῦντές τε καὶ καθιστῶντες.
1 3 20	Σκουλκάτορες οἱ κατάσκοποι λέγονται. Καντάτωρ λέγεται ὁ ἐπιδημηγορῶν τῷ στρατῷ πρὸ τῆς μάχης, καὶ πλαγιοφύλακες οἱ πρὸς φυλακὴν τῶν πλαγίων τῆς πρώτης τάξεως ταττόμενοι, ὑπερκερασταὶ δὲ οἱ πρὸς τὸ περιλαβεῖν τὸ τῶν ἐναντίων κέρας τεταγμένοι.
1 3 24	Καὶ τοῦλδός ἐστιν ἡ ἀποσκευὴ τῶν στρατιωτῶν, τουτέστι παῖδές τε καὶ ὑποζύγια καὶ τὰ λοιπὰ ζῴα. Πῶς δεῖ τὴν τοῦ στρατοῦ διανομὴν γίνεσθαι καὶ τῶν ἀρχόντων αὐτοῦ; Τῆς ὁπλίσεως γενομένης κατὰ λόγον καὶ τῶν κατὰ τὸ ἀναγκαῖον εἰς ἀποτροφὴν τοῦ στρατοῦ προετοιμασθέντων καὶ τῶν ὀνομάτων, δι’ ὧν οἵ τε καθ’ ἕκαστον ἄρχοντες καὶ στρατιῶται σημαίνονται, δήλων γενομένων, χρὴ διανεμηθῆναι τὸν στρατὸν εἰς διάφορα τάγματα καὶ ἀρχάς, καὶ ἐπιστῆναι αὐτῷ φρονίμους καὶ προσφόρους ἄρχοντας.
1 4 2	Χρὴ τάγματα γίνεσθαι διάφορα ἀπὸ τριακοσίων ἢ τετρακοσίων τὸ πλεῖστον ἀνδρῶν καὶ ἐπιστῆναι εἰς μοίρας ἤτοι χιλιαρχίας καὶ γενέσθαι αὐτὰς ἀπὸ δισχιλίων ἢ τρισχιλίων ἀνδρῶν πρὸς τὸ πλῆθος τοῦ στρατοῦ. καὶ ἐπιστῆναι αὐταῖς μοιράρχας χρησίμους τοὺς λεγομένους δοῦκας ἤτοι χιλιάρχας, φρονίμους καὶ τεταγμένους. Τὰς δὲ μοίρας ταύτας τρία μέρη γενέσθαι ἴσα καὶ ἐπιστῆναι αὐτοῖς μεράρχας, τοὺς λεγομένους στρατηλάτας, φρονίμους, εὐτάκτους καὶ ἐμπείρους, εἰδότας, εἰ δυνατόν, καὶ γράμματα, καὶ μάλιστα τὸν τοῦ μέσου μέρους λεγόμενον ὑποστράτηγον, ὀφείλοντα, εἰ χρεία γένηται, ἐν πᾶσι τὸν τοῦ στρατηγοῦ τόπον ἀναπληροῦν.
1 4 3	Ἔστιν οὖν ἡ τάξις οὕτως. Διαιροῦνται πρότερον οἱ καβαλλάριοι εἰς τάγματα διάφορα, τὰ δὲ τάγματα εἰς μοίρας ἤτοι χιλιαρχίας, αἱ δὲ μοῖραι εἰς μέρη τρία ἴσα, τουτέστι μέσον, δεξιόν, ἀριστερόν, τὰ ποιοῦντα τὴν παράταξιν τὴν ὑπὸ τῷ στρατηγῷ τεταγμένην.
1 4 5	Χρὴ μηδὲ τάγματα πλέον τῶν τετρακοσίων ἀνδρῶν γίνεσθαι δίχα τῶν ὀπτιμάτων βάνδων, μηδὲ μοῖραν τῶν τρισχιλίων, μηδὲ μέρος τῶν ἑξακισχιλίων ἢ ἑπτακισχιλίων. Εἰ δὲ συμβῇ πλέον τοῦ λεχθέντος μέτρου εἶναι τὸν στρατόν, κάλλιον ἐστὶν ἔξωθεν τῶν μερῶν ἐν ὑποβοηθείᾳ ἐν δευτέρᾳ τάξει καθίστασθαι καὶ ἐπὶ φυλακῇ τῶν πλαγίων μερῶν καὶ τοῦ νώτου, καὶ εἰς ἐνέδρας καὶ κυκλώσεις τῶν ἐναντίων. Καὶ μὴ τὰ μέρη ἢ τὰς μοίρας μείζους ποιεῖν, ἵνα μή, ὡς τέλεια καὶ ἐπὶ πολὺ ἐκτεινόμενα, ἀπειθῆ καὶ συγχεχυμένα εὑρηθῶσιν. Χρὴ μὴ πάντα τὰ τάγματα ἐπιτηδεύειν πάντως ἴσα ποιεῖν, ἵνα μὴ ἐκ τοῦ ἀριθμοῦ τῶν βάνδων εὐαρίθμητος τοῖς ἐχθροῖς ὁ στρατὸς γένηται, ἀλλὰ τοῦτο φυλάττειν, τὸ μηδὲ τῶν τετρακοσίων ἀνδρῶν, ὡς εἴπαμεν, πλέον, μηδὲ τῶν διακοσίων ἔλαττον τὰ τάγματα γίνεσθαι.
