Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 28b gamma	δέον εἰπεῖν τὰ lChalc ἁμιλλαντήρια ὡς πρὸς τὸ “ἔλαυνε τὸν σαυτοῦ δρόμον”, ὁ δὲ lChalc πολεμιστήρια εἶπεν lChalcb ὡς ἐκ τοῦ ὕπνου δηλονότι συγκεχυ‐ μένος ὤν l.
book 28b gamma,c2	ὡς μὴ γινώσκων, ἅ φησι, διὰ τὸ καθ’ ὕπνους λέγειν αὐτά b, et in gl. separ. οὕτω συγκεχυμένος ὡς ἐν ὕπνῳ b.
book 28b delta	ὅτι τρεῖς δρόμοι μάλιστα ἦσαν πεζῶν ὁπλίτων (sic), ὁ δίαυλος ... (10) μέχρι νόμου ... τὰς καμπτηρίας ἐποίουν.
book 28c	τὰ πολεμιστήρια] τὰ ἀγωνιστήρια Cant.2, τὰ ἁμιλλαντήρια lChalc.
book 28d	post 28] ἅμιλλα ὁ ἀγών, καὶ ἁμιλλητήριον ὁ τόπος, ἐν ᾧ ἀγωνίζον‐ ται (M).
book 29a alpha	ἐλαύνεις] διώκεις Cant.2lChalcb, διεγείρεις Ho, φθείρεις Ba(m2).
book 29a beta	ἐλαύνει ὁ χαλκεὺς τὸν σίδηρον σφυρηλατῶν, καὶ ὁ οἰκοδόμος ἀπὸ μετα‐ φορᾶς τούτου τεῖχος, ἀντὶ τοῦ ἐπίμηκες ποιεῖ· καὶ ἐλαύνει ἵππον, ἀντὶ τοῦ ἐπ’ εὐθείας ποιεῖ φέρεσθαι καὶ ἐκτείνεσθαι.
book 29b	29 p.i.m.] στρέφεσθαί με ποιεῖς, ἤγουν πολλὰς στροφὰς φροντίδων διεγείρεις· ἢ ἀντὶ τοῦ “ποιεῖς” “ἐλαύνεις” Pa (cf. Th2Tr1/2 29).
book 29c	δρόμους] μερίμνας ἢ ὁδούς Cr, κατὰ τοὺς b, εἰς (M; ad πολλοὺς, ut Tz1 29).
book 30a	ἔβα] μετέλαβε Pa, ἐξῆλθε lb, εἰσῆλθε Chalc; ἔβα με] εἰς (M; cf. Tz1 30, fin.).
book 30b	μετὰ τὸν Πασίαν] μετὰ τοῦ [τὸ] δανείσασθα(ί) ChisReg με τὰ ἀπὸ τοῦ Πασίου Reg, ὑπὸ τοῦ Πασίου Cr, μετὰ τί χρέος τοῦ Πασία Cant.2, μετὰ τὸ χρέος τοῦ Πασία l, ὕστερον Chalcb τοῦ Πασίου b.
book 31a	μναῖ] ὀφείλω Pa(M) τῷ Ἀμυνίᾳ Pa, χρέους ἐπῆλθον ἢ ὀφείλονται Lb, χρεωστοῦνται (M).
book 31b	δίφρος καλεῖται τὸ σκεῦος, ἐν ᾧ οἱ ἡνίοχοι ἐφεστῶτες ἐλαύνουσιν· ὑποκοριστικῶς δὲ εἶπε “διφρίσκου” διὰ τὸ μικροὺς εἶναι καὶ κούφους τοῖς ἀγωνιζομένοις πρὸς τοὺς ἀγωνιστηρίους.
book 31c	διφρίσκου] ἕνεκα Cant.2 CrChalcHo (cf. Tz1 31d) ἕνεκεν lb(M) τοῦ μικροῦ lb δίφρου Lbh ἤγουν Lbb ἅρματος lb(cf. Tz1 31d).
book 32a	πρός τινα δοῦλον· ἐῴκει γὰρ ἀφ’ ἵππου ἀποβῆναι, καί φησιν· “ἄπαγε τὸν ἵππον οἴκαδε”.
book 32b	ἢ ἀντὶ τοῦ κυλισθῆναι ποιήσας· ἁλίζειν γὰρ ἔλεγον τὸ ἐν κόνει κυλίε‐ σθαι· ἦν γὰρ κόνις τις ἐξαίρετος τοῖς ἀγωνιζομένοις· ἢ ἐκβαλὼν τῆς ἁμίλλης, ἀπὸ τῆς ἐξ προθέσεως τῆς δηλούσης τὸ ἔξω καὶ τοῦ ἁλίζω τὸ συναθροίζω.
book 32c	ἄπαγε] εἰς τοὐπίσω κόμιζε Par, κόμισον Lb, ἄξον b, πόρρω ἀποκό‐ μιζε (M).
book 32d	ἐξαλίσας] κυλίσας Vt(m2; = sch.vet. 32b), ὑπολύσας Ho ἀπολύ‐ σας (M11 m6) ante Th2Tr1/2 32b.
book 32e	ἔτι καθεύδων ὁ Φειδιππίδης καὶ τοῦτό φησιν· οἴεται γὰρ πεπληρωκέ‐ ναι τὸν δρόμον, ὃν ἔτρεχε, καὶ οἱονεὶ κελεύει τινὰ πρὸς κόνεως κυλίστρας τόπον ἐξενεγκεῖν τὸν ἵππον ὥστε κυλισθῆναι, ὅπερ ἥδεται ὁ ἵππος ποιῶν.
book 32f	οἴκαδε] εἰς τὸν οἶκον Cant.2lChalcb, εἰς τὴν οἰκίαν (M).
book 33a alpha	ἀλλ’ ὦ μέλεε: ἀπὸ τοῦ ἀπαγορευτικοῦ ἐπιρρήματος καὶ τοῦ ἐλέους (Θmrg.).
book 33a beta	μέλε’] ἄθλιε Chis(paraphr.) Cant.2 Crlb (M M11m1) (cf. Tz 33a, l. 5).
book 33b	ἐξήληκας (sic etiam text. VaChalcb cum gl. Th2Tr1/2 33a)] ἐξή‐ λασας Lb.
book 34a alpha	δίκας] κρίσεις ChisRegCrlb ἢ τιμωρίας Cr, εὐθύνας Lb.
book 34a beta	δίκη ἡ παρὰ τοῖς Ἕλλησι σωματοειδὴς θεά· δίκη καὶ ἡ τιμωρία καὶ ἡ κόλασις, δίκη καὶ ἡ δικαιοσύνη, δίκη καὶ τὸ δικαστήριον καὶ ἡ κρίσις (Θmrg.).
book 34b	ὤφληκα] ἐχρεώστησα Cant.2.
book 34c	χ’ἅτεροι] καὶ ἄλλοι Cant.2l (M) (cf. sch.vet. 34b), καὶ οἱ ἕτεροι καὶ οἱ ἄλλοι b.
book 34d	τόκου] χάριν Cr, ὑπὲρ τοῦ (M; cf. sch.vet. 34c).
book 34e	τόκος σημαίνει τρία· τόκος αὐτὴ ἡ γέννα καὶ τόκος τὸ τεχθὲν παιδίον, καὶ τόκος ἡ ὠφέλεια Cr(mrg.).
book 34f	οὐ γὰρ μόνον δικάζεσθαι, φησί, μέλλω ὑπὲρ ὧν ἐδανεισάμην χρημάτων ἕνεκεν σοῦ ὥστε ἀποδοῦναι αὐτά, ἀλλὰ εἰσὶ καὶ ἕτεροι, οἵτινες ζητοῦσι νῦν τού[των] Chalc παρ’ ἐμοῦ λαβεῖν ἐνέχυρα ἕνεκεν [ἕνεκα Ho] σοῦ Lb τού‐ του Chalc [τόκου h].
book 35a	ἐνεχυράσασθαι: τὸ θέμα ἐνεχυράζω, ὁ ἀόριστος ἐνεχύρασα, ὁ μέσος ἠνεχυρασάμην, ἠνεχυράσω, ἠνεχυράσατο, καὶ τὸ ἀπαρέμφατον ἐνεχυρά‐ σασθαι.
book 35b	ἐνεχυράσασθαί] ἐνέχυρα λαβεῖν lb(M) (cf. Tz1 35c) παρ’ ἐμοῦ l ἐξ ἐμοῦ (M)· ἤγουν ἀμαχεῦσαι Lb.
book 35c	ἐτεόν] κατ’ ἀλήθειαν Cant.2 Palh(M), ἀληθῶς Va.
book 36a	δυσκολαίνεις] φροντίζων ἀγανακτεῖς Reg (cf. Th2Tr1/2 36a), βαρέως ἔχεις (M).
book 36b	στρέφῃ] περιστρεφῇ Par (cf. sch.vet. 36), κινῇ l, κινῆσαι Chalc, κί‐ νησιν ἔχεις b.
book 37a	δέον ... δάκνουσί με κόρεις οἱ ἐν ... (2) ὄντες· οὗτοι γάρ εἰσιν οἱ τοὺς ... δάκνοντες, ὁ δὲ ... (4) δοῦκα, ᾧ σύνηθες ἐνεχυράζειν ... χρεωσ‐ τούντων.
book 37b	τοῦτο παρ’ ὑπόνοιάν ἐστιν· ἀντὶ γὰρ τοῦ εἰπεῖν “κόρις δάκνει” φησὶ “δήμαρχος”, ὃν ἰδιωτικῶς προληψιμαῖον λέγουσιν.
book 37c	δάκνει] λυπεῖ CrCant.2lChalcb.
book 37d	δήμαρχος] ἐνεχυραστής Cr, ἢ φροντὶς τῶν χρεῶν b(post Tr2 37b; cf. Tz1 37c).
book 38a	ἔασον] παραχώρησον Cr, ἄφες Cant.2 PalChalch.
book 38b	δαιμόνιε] δυστυχέστατε Cr, εὐτυχέστατε l, κακότυχε Cant.2Chalc, ἢ Va ἄθλιε Vab, κακοδαίμων Vict (Hesch. Δ 74).
book 38c alpha	δρῶ τὸ κοιμῶμαι, καὶ κατὰ παραγωγὴν (Θ) ChisPar δρήθω (Θ)· [δρίνθω·] ὁ βʹ ἀόριστος ἔδραθον καὶ κατὰ μετάθεσιν τῶν γραμμάτων [στοι‐ χείων Reg] ἔδαρθον, καὶ τὸ ἀπαρέμφατον δαρθεῖν καὶ καταδαρθεῖν. κυρίως δὲ καταδαρθεῖν λέγεται τὸ ἐπὶ δερμάτων κοιμηθῆναι Reg.
book 38c beta	καταδαρθεῖν: τὸ θέμα δέρθω, ὁ βʹ ἀόριστος ἔδαρθον καὶ τὸ ἀπαρέμ‐ φατον δαρθεῖν, καὶ μετὰ τῆς κατὰ προθέσεως καταδαρθεῖν Cant.2(mrg. καταδαρθεῖν ⸓).
book 38c gamma	ἀπὸ τοῦ θῶ τὸ τίθημι καὶ τοῦ δέρας τὸ δέρμα Cr(mrg.).
book 38d	καταδαρθεῖν] κοιμηθῆναι RegPalChalc, κατακοιμηθῆναι Cant.2b (cf. sch.vet. 38c), ὑπνῶσαι (M).
book 39a	οὖν] λοιπόν· ἢ ἀργόν Cr.
book 39b	κάθευδε] κοιμοῦ (sic) ParCant.2, κοιμῶ LbChalc, κεκοίμησο Cr ὕπνωττε b(M), καθεύδω, ὁ μέλλων καθεδοῦμαι (sic) Pa.
book 40a	ἅπαντα] ὅλα CrlChalcb.
book 40b	εἰς τὴν κεφαλὴν] κατὰ τῆς σῆς κεφάλης (M).
book 40c	τρέψεται] τραπήσεται Cant.2(M) (= Tz1 40b), τραπήσονται Crlb (cf. Tz1 40b).
book 40d alpha	τὸ “τρέπομαι”, τὸ “τραπήσομαι” καὶ τὸ “τραπήσεσθαι” γράφε‐ ται· τὸ δὲ “ἐτράπη” μετὰ τοῦ ἵνα· ὡσαύτως καὶ τὸ “ἐξετραπόμην” μετὰ τῆς ἐξ προθέσεως.
book 40d beta	τρέψεται: οὕτως καὶ “δυνήσεται, δυνηθήσεται” καὶ “ζημιώσεται” ἀντὶ τοῦ “ζημιωθήσεται” M(mrg.).
book 41(pr)a	φεῦ] τί πρᾶγμα ἔπαθον Cr.
book 41(pr)b	ἐν μνήμῃ ... (12) τοῦ ... αὐτοῦ βίου [τῆς ... αὐτοῦ περι‐ ουσίας Chalc] καὶ τῶν χρεῶν καὶ τῆς ἐνδείας, ἃ συνέβησαν αὐτῷ μετὰ τοὺς γάμους [τὸν γάμον h], ἀναβοᾶται [ἀναβοᾷ καὶ h] τὸ “φεῦ” καὶ τῇ προ‐ μνηστρίᾳ ἤτοι τῇ προξένῳ h τῶν γάμων ἀρᾶται.
book 41a	εἴθ’] ἄν ποτε Reg, ἄμποτε Cr.
book 41b	ὤφελ’] ἔπρεπε ChisPar, ἔμελλε Cr, ὤφελον b (cf. Et. M. s.v. ὄφελον, 643, 47: ἀδιάπτωτόν ἐστι; sed διάπτωτόν Cramer A.O.I 319,10).
book 41c	ἴσθι τὸ “ὤφελεν” μὴ “ὤφειλεν” εἶναι· ὅταν γὰρ μετὰ τοῦ εἴθε ἢ τοῦ μή συμπλέκεται, μεγαθύνεται, οἷον “μὴ ὤφειλεν” καὶ “εἴθ’ ὤφειλεν”· ἐνταῦθα δὲ συστέλλεται διὰ τὸ μέτρον.
book 42a alpha	γῆμ’ ἐπῆρε] καὶ εἰς γάμον λαβεῖν παρεκίνησε νόμιμον γυναῖκα Cr.
book 42a beta	γῆμ’] εἰς γυναῖκα Cant.2, γυναῖκα λαβεῖν lChalcb, γυναῖκα ἀγαγέσθαι (M).
book 42b	ἐπῆρε] ἔπεισε b, κατέπεισε Ho
book 43a	ἄγροικος ... (2) ἀλληνάλλως ... οἰκῶν.
book 43b	ἄγροικος ὁ ἐν τῷ ἀγρῷ οἰκῶν, ἀγροῖκος δὲ ὁ ἀπαίδευτος.
book 43c alpha	ἄγροικος] ἐν ἀγροῖς διατρίβων Cr, ἐν τῷ ἀγρῷ Lb, ἰδιωτικός b, χωρικός (Ca 2).
book 43c beta	ἄγροικος ... βίος] ἡ ἐν τοῖς ἀγροῖς διαγωγή Cant.2.
book 43d	ἥδιστος] εὐφραντός ChisCr, γλυκύτατος Cant.2, λίαν lb γλυκύς lChalcb.
book 43e	βίος] ζωή CrLbChalcb(M).
book 44a	τὸ εὐρωτιῶν ἰδία ὀσμὴ ἐπὶ προβάτων καὶ ἐρίων καὶ δερμάτων καὶ τῶν τοιούτων Cant.2 (mrg. εὐρωτιῶν ⸓).
book 44b	εὐρωτιῶν] διὰ [τὴν ὑ]γρότητα (post Tz1 44b) Lb, σκωλήκων Ho Harl.5 μεστός Ho (ex 44b Th2Tr1), σεσηπώς (Mm2).
book 44c alpha	κορέω, κορέσω τὸ χορτάζω, κορῶ κορήσω τὸ καλλωπίζομαι Cr (mrg.; cf. sch.vet 44c).
book 44c beta	ἀκόριτος (sic etiam Harl.5)] ἀκόσμητος Ba(m2).
book 44d alpha	εἰκῇ] ἐπίρρημα· ἀντὶ τοῦ ChisPar ἀπολελειμμένως καὶ ἀπρονοήτως ChisRegPar, ὡς ἔτυχε Cant.2, μάτην, ἀφροντίστως Chalc.
book 44d beta	εἰκῇ κείμενος] ματαίως l, ὅπου τύχῃ ὑπῆρχον ἐγώ Lb, ὡς ἔτυχεν ὤν Va, ἀπέριττος b.
book 45a	βρύων] πληθυνόμενος Cant.2, πεπληρωμένος ὤν Lb, αὐξάνων Va (cf. sch.vet. 45a).
book 45b	τὸ βρύω εἰ μὲν τὸ θάλλω, δοτικῇ, εἰ δὲ τὸ χέω, αἰτιατικῇ Cr(mrg).
book 45c	θάλλει τὸ δένδρον καρποῖς· οὕτω καὶ “βρύων μελίτταις”· τοῦ ἀγροῦ γάρ ἐστι τὸ ἔχειν πλῆθος μελιττῶν Pa(mrg.).
book 45d	στεμφύλοις] στέμφυλα ... ἀποπτίσματα [ἀποπτύσματα] ... ἐλαιῶν ChisReg (cf. Th2Tr1/2 45b), ἐλαιοστέγοις· ἐν ὀπώραις Cr, ἐν τζουρ⟦ουρ⟧οῖς Chalc, πιέσμασι τῶν ἐλαιῶν καὶ τῶν οἴνων A, τεταριχευμέναις σταφύλαις (Np D), τῶν ἐλαῶν κόκκοις (M).
book 46	ἔγημα] εἰς γυναῖκα ἔλαβον Cant.2, γυναῖκα ἔλαβον lChalcb, γυναῖκα ἠγαγόμην (M).
book 47a	ἀδελφιδὴν: ἀδελφοῦ ἢ ἀδελφῆς θυγατέρα ἤτοι ἀνεψιάν· ἰδίως δὲ ἀνεψιοὶ οἱ τοῦ ἀδελ‐ φοῦ παῖδες.
book 47a,c2	ἡ ἀδελφιδὴ ἀδελφοῦ ἢ ἀδελφῆς θυ‐ γάτηρ ἐστίν, ἣν καὶ ἀνεψιὰν καλοῦ‐ σιν· ἀνεψιὸς γὰρ μόνον καὶ ἀνεψιὰ οἱ παῖδες τοῦ ἀδελφοῦ λέγονται·
book 47b	ἄγροικος] ἐν τοῖς ἀγροῖς οἰκῶν Cant.2Chalc, ἐν τῷ ἀγρῷ lb οἰκῶν Vab(hic ad ὢν), ἰδιώτης l.
book 47c alpha	ἐξ ἄστεως] ἐκ πόλεως Par; ἐξ ἄστεος] ἔξω lChalcb τῆς πόλεως Lb τοῦ VaChalcb ἄστεος Chalcb.
book 47c beta	ἔγημα ἐκείνην ἀστυκὴν οὖσαν M(mrg.).
book 48a	σεμνήν] κοσμίαν Chalc, τιμίαν Cant.2Vab, ἐπηρμένην Cr(M) (= Tz1 48b), γαυρουμένην Harl.5(m2), {σώφρονα} Ba, εὔμορφον (Cang).
book 48b	τρυφῶσαν] σπαταλῶσαν CrlChalcb(M).
book 48c alpha	ἐγκεκοισυρωμένην] τὰ τῆς Κοισύρας ποιοῦσαν (M) (cf. sch.vet. 48b (post in.) et Tz 48a, l. 9; Tz1 48b, l. 13).
book 48c beta	Κοισύρα γυνὴ ἦν διαβεβοημένη ἐπὶ τρυφῇ καὶ σπατάλῃ M(mrg.).
book 49a	ἐγάμουν] εἰς γυναῖκα ἐλάμβανον ChisVa, γυναῖκα ἐλάμβανον Cant.2 Lb, [ἔλαβον b,] εἰς γάμον ἠγαγόμην (M).
book 49b	γαμεῖν [γαμῶ Chalc] οὐ μόνον τὸ λαμβάνειν γυναῖκα, ἀλλὰ καὶ τὸ τὴν ἡμέραν τῶν γάμων [αὐτὴν h] ἑορτάζειν, ἐν ᾗ τὴν γυναῖκα ἔλαβεν h.
book 49c	συγκατεκλινόμην] συγκατεκείμην Cant.2, συνεκοιμώμην PaLbh, μετ’ αὐτῆς ἐγώ b, ἐκοιταζόμην μετ’ ἐκείνης ἐν τῇ κλίνῃ Va, ἐπὶ τῆς αὐτῆς κλίνης ἐκείμην (M).
book 50a	ὄζων] πνέων Cr(Cang), μυρίζων Cant.2, ὀσμὴν lChalch(M) ἀποπέμ‐ πων lChalc πέμπων Ho(hic ὀδμὴν) (M) ἐκπέμπων b.
book 50b	τρυγός] ἢ Cr νέου οἴνου Cr(Cang) (cf. sch.vet. 50a) ἢ λούνης (v. Pernot) Cr, ὕλης Cant.2lChalcb οἴνου Cant.2LbChalc(M).
book 50c alpha	ἡ ... σανὶς ἦν ... σύκα ἐταρίχευον ... γινομένην.
book 50c beta	τρασιὰ τόπος, ἔνθα θερσαίνουσιν ἢ σῦκα ἢ σταφυλὰς ἢ ἄλλα τινὰ ἢ τυρούς.
book 50c gamma	τρασιᾶς] ξύλου (–λῳ, cod.), ἐν ᾧ τὰς ὀπώρας ἐξήραινον Pa, σανίδος, ἐν ᾗ ἥπλουν [ἁπλοῦσι Chalc] τὰς βότρυς Lb [τὰ σύκα] lChalcb (ἐν ᾗ om. Va), ξηρῶν τυρῶν Ho et praem. ἢ Harl.5(m2), πᾶν τὸ ἀποψύγον (= –ψῦχον) πρᾶγμα (Cang).
book 50d	ἐρίων] μαλλίων Reg, μαλίων Cant.2lChalcb(M; non –λλ– Zach.).
book 50e	περιουσίας] πλήθους Cant.2lChalcb (M) (cf. sch.vet. 50d, fin.).
book 51a	μύρου] ῥοδοστάγματος Cant.2.
book 51b	κρόκου] ζαφορᾶ Chalc(m2), ζαφορᾶς b.
book 51c	καταγλωττισμάτων] καταφιλημάτων Va, ὁμιλίας λόγων ἐρωτικῶν (cf. Tz 51a, 1. 7) (M; seq. (ἢ) sch.vet. 51d).
book 51d	καταγλωττίσματα τὰ ἐπὶ συνουσίᾳ φιλήματα, καὶ καταγλωττίζομαι παθητικῶς γραφόμενον· ἐπιγλωττίζομαι δὲ τὸ ἐπιγελῶ καὶ διαπαίζω.
book 52a	δαπάνης] ἀναλώσεως Cr, ἣν ἔμελλε δαπανᾶν Chalc, ἀναλωμάτων (Cang; cf. Tz 51a, 1. 9), ἀναλώματος (M).
book 52b	δαπάνης ἤγουν ἀναλώματος ἐπὶ πραγμάτων τινῶν. λαφύσσω δὲ ἐπὶ τῆς πόσεως τοῦ οἴνου, καὶ λάπτω τὸ αὐτό· ἢ λαφύσσω τὸ ἐκκενῶ.
book 52c	λαφυγμοῦ] λαφυγμὸν καλοῦσιν ἀντὶ τοῦ ἀπλήστως ἐσθίειν ChisPar (cf. sch.vet. 52b), ὑπερβολικῆς δαπάνης Reg, ἀπληστίας Cr(Cang), περὶ τὰ ἐδέσματα πολυτελείας Pa(ad 51. καταγλωττισμάτων cod.) Ho (sch.vet. 52a), τῆς πολυτελείας (πολιτείας cod.) τῆς ἑαυτῆς Chalc, πορνικῆς ὁμιλίας ἐξ b ἀφροδισίων Lbb (cf. Lb in 52e), κενώσεως πραγμάτων (M; cf. Tz 51a, 1. 10).
book 52d alpha	Κωλιὰς ... (10) Γενετυλὶς ... ὡς τῆς γενέσεως ἔφορος.
book 52d beta	Κωλιάδος, Γενετυλλίδος] ἐπίθετα καὶ ἀμφότερα Reg Ἀφροδίτης RegCr (cf. Tz 51a, 1. 11), τῆς Ἀφροδίτης πορνικὰ ἐπίθετα Cant.2, πορνικῆς διαθέ‐ σεως Vd(m2).
book 52e	Κωλιάδος] τῶν ἐκ τῆς Ἀφροδίτης· ἤγουν ἔργα ἀφροδίσια Lb (cf. 52c), ἀφροδισίων ἔργων Va, Ἀφροδίτης· τῶν ἔργων τῆς Ἀφροδίτης Chalc, ἀφρο‐ δισίου (M).
book 52f	Γενετυλλίδος] ἀφροδισίων Cr, ἀφροδισιάζων (sic) Ho (–υλίδος]) Harl.5(m2), συνουσίας (Mm2).
book 53a	ἀργὸς] ὡς τὸ “κλυτὸς Ἱπποδάμεια” (B 742) Cr (cf. sch. Ald 53b sub fin.), ἀμελής b.
book 53b alpha	τὸ σπαθᾶν ἀπὸ ... ἐργάζεσθαι εἴληπται· ἀπὸ τοῦ συντόμως κινεῖν ... σπάθας.
book 53b beta	σπαθᾶν λέγεται h τὸ λίαν τρυφᾶν καὶ σπαταλᾶν, ἀπὸ [εἴρηται δὲ ἐκ h] μεταφορᾶς τῶν ... ἐν τῷ ἐργάζεσθαι. σπαθᾶν γὰρ κυρίως τὸ συντόνως κινεῖν τὰς ὑφαντικὰς σπάθας ἐν τῷ ἐργάζεσθαι.
book 53b gamma	ἐσπάθα: ἀντὶ τοῦ κατέκοπτεν, ἐκ μεταφορᾶς τοῦ ξίφους, ἢ ἀπὸ μεταφορᾶς τοῦ ἐργαλείου, δι’ οὗ τὴν κρόκην οἱ ὑφανταὶ συντιθέασιν· εὑρίσκεται γὰρ καὶ ἀντὶ τοῦ συντίθεται, ὡς ὁ Δημοσθένης “ταῦτ’ ἤδη ἐσπαθᾶτο καὶ ἐδημη‐ γορεῖτο”.
book 53c	ἐσπάθα] ἐσπατάλα lChalcb, κατέκοπτε (M; cf. 53bγ).
book 54	ἂν] ἴσως Ho.
book 55a	πρόφασιν] εἰς Cr πενίας Cr(Cang), ἀφορμήν Cant.2Chalc τοῦ λόγου Chalc, ἐκ τούτου ἔχων ἀφορμὴν λόγου Lb, εἰς ἀφορμήν Va, αἰτίαν τοῦ λόγου Ho, ἔχων αὐτό b.
